HI: HI, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02556	0.02499	0.11	100000	2499	97785	7010736	70.11
1960-1964	1	0.00150	0.00150	0.5	97501	146	97427	6912952	70.90
1960-1964	2	0.00084	0.00084	0.5	97354	82	97313	6815524	70.01
1960-1964	3	0.00060	0.00060	0.5	97272	58	97243	6718211	69.07
1960-1964	4	0.00053	0.00053	0.5	97214	52	97188	6620968	68.11
1960-1964	5	0.00062	0.00062	0.5	97162	60	97132	6523780	67.14
1960-1964	6	0.00043	0.00043	0.5	97102	41	97081	6426648	66.18
1960-1964	7	0.00051	0.00051	0.5	97061	49	97036	6329567	65.21
1960-1964	8	0.00021	0.00021	0.5	97011	20	97001	6232531	64.25
1960-1964	9	0.00040	0.00040	0.5	96991	39	96972	6135530	63.26
1960-1964	10	0.00030	0.00030	0.5	96952	29	96938	6038558	62.28
1960-1964	11	0.00050	0.00050	0.5	96923	49	96899	5941621	61.30
1960-1964	12	0.00036	0.00036	0.5	96874	35	96857	5844722	60.33
1960-1964	13	0.00055	0.00055	0.5	96839	54	96812	5747866	59.35
1960-1964	14	0.00033	0.00033	0.5	96785	32	96769	5651053	58.39
1960-1964	15	0.00070	0.00070	0.5	96753	68	96720	5554284	57.41
1960-1964	16	0.00094	0.00094	0.5	96686	91	96640	5457564	56.45
1960-1964	17	0.00100	0.00100	0.5	96595	96	96547	5360924	55.50
1960-1964	18	0.00111	0.00111	0.5	96499	107	96445	5264377	54.55
1960-1964	19	0.00152	0.00152	0.5	96392	146	96319	5167932	53.61
1960-1964	20	0.00175	0.00175	0.5	96246	168	96162	5071613	52.69
1960-1964	21	0.00088	0.00087	0.5	96078	84	96035	4975451	51.79
1960-1964	22	0.00122	0.00122	0.5	95993	117	95935	4879416	50.83
1960-1964	23	0.00146	0.00146	0.5	95876	140	95807	4783481	49.89
1960-1964	24	0.00118	0.00118	0.5	95737	113	95680	4687674	48.96
1960-1964	25	0.00108	0.00107	0.5	95624	103	95572	4591994	48.02
1960-1964	26	0.00111	0.00111	0.5	95521	106	95468	4496422	47.07
1960-1964	27	0.00141	0.00141	0.5	95415	135	95347	4400954	46.12
1960-1964	28	0.00094	0.00094	0.5	95280	90	95235	4305606	45.19
1960-1964	29	0.00127	0.00127	0.5	95190	121	95130	4210371	44.23
1960-1964	30	0.00186	0.00186	0.5	95069	177	94981	4115242	43.29
1960-1964	31	0.00105	0.00105	0.5	94892	100	94842	4020261	42.37
1960-1964	32	0.00120	0.00120	0.5	94792	114	94736	3925419	41.41
1960-1964	33	0.00168	0.00168	0.5	94679	159	94599	3830683	40.46
1960-1964	34	0.00186	0.00186	0.5	94520	176	94432	3736084	39.53
1960-1964	35	0.00175	0.00175	0.5	94344	165	94261	3641652	38.60
1960-1964	36	0.00174	0.00173	0.5	94179	163	94097	3547391	37.67
1960-1964	37	0.00194	0.00194	0.5	94016	182	93924	3453294	36.73
1960-1964	38	0.00222	0.00222	0.5	93833	208	93729	3359369	35.80
1960-1964	39	0.00290	0.00290	0.5	93625	271	93490	3265640	34.88
1960-1964	40	0.00302	0.00301	0.5	93354	281	93213	3172150	33.98
1960-1964	41	0.00277	0.00277	0.5	93073	257	92944	3078937	33.08
1960-1964	42	0.00305	0.00304	0.5	92815	283	92674	2985993	32.17
1960-1964	43	0.00328	0.00328	0.5	92533	303	92381	2893319	31.27
1960-1964	44	0.00431	0.00430	0.5	92229	396	92031	2800938	30.37
1960-1964	45	0.00387	0.00386	0.5	91833	355	91656	2708907	29.50
1960-1964	46	0.00385	0.00385	0.5	91478	352	91302	2617252	28.61
1960-1964	47	0.00560	0.00559	0.5	91127	509	90872	2525949	27.72
1960-1964	48	0.00605	0.00603	0.5	90617	546	90344	2435077	26.87
1960-1964	49	0.00628	0.00626	0.5	90071	564	89789	2344733	26.03
1960-1964	50	0.00736	0.00734	0.5	89507	657	89179	2254944	25.19
1960-1964	51	0.00872	0.00868	0.5	88850	771	88465	2165765	24.38
1960-1964	52	0.00846	0.00842	0.5	88079	742	87709	2077300	23.58
1960-1964	53	0.00991	0.00986	0.5	87338	861	86907	1989592	22.78
1960-1964	54	0.01082	0.01077	0.5	86476	931	86011	1902684	22.00
1960-1964	55	0.01098	0.01092	0.5	85545	934	85079	1816674	21.24
