TX: TX, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.06189	0.05904	0.22	100000	5904	95390	6288062	62.88
1941	1-4	0.00364	0.01443	1.33	94096	1358	372760	6192671	65.81
1941	5-9	0.00115	0.00574	2.46	92738	532	462339	5819911	62.76
1941	10-14	0.00114	0.00569	2.72	92206	525	459833	5357572	58.10
1941	15-19	0.00225	0.01120	2.68	91681	1027	456023	4897740	53.42
1941	20-24	0.00301	0.01495	2.58	90655	1356	449992	4441717	49.00
1941	25-29	0.00322	0.01599	2.52	89299	1428	442954	3991725	44.70
1941	30-34	0.00383	0.01896	2.59	87871	1666	435336	3548771	40.39
1941	35-39	0.00469	0.02319	2.59	86204	1999	426201	3113435	36.12
1941	40-44	0.00614	0.03028	2.67	84206	2550	415084	2687233	31.91
1941	45-49	0.00835	0.04093	2.6	81656	3342	400248	2272149	27.83
1941	50-54	0.01210	0.05884	2.66	78314	4608	380801	1871901	23.90
1941	55-59	0.01716	0.08238	2.59	73706	6072	353901	1491100	20.23
1941	60-64	0.02405	0.11382	2.65	67634	7698	320112	1137199	16.81
1941	65-69	0.03439	0.15890	2.61	59936	9524	276915	817087	13.63
1941	70-74	0.05339	0.23672	2.61	50412	11933	223511	540171	10.72
1941	75-79	0.08195	0.34107	2.54	38479	13124	160138	316660	8.23
1941	80-84	0.12800	0.48140	2.43	25355	12206	95356	156522	6.17
1941	85-89	0.19212	0.62920	2.26	13149	8273	43063	61166	4.65
1941	90-94	0.24980	0.72345	2.09	4876	3527	14120	18103	3.71
1941	95-99	0.32397	0.81595	1.96	1348	1100	3396	3983	2.95
1941	100-104	0.41364	0.88698	1.78	248	220	532	587	2.36
1941	105-109	0.50956	0.93330	1.61	28	26	51	55	1.95
1941	110+	0.58788	1.00000	1.7	2	2	3	3	1.70
1942	0	0.05711	0.05463	0.21	100000	5463	95661	6392866	63.93
1942	1-4	0.00354	0.01403	1.38	94537	1326	374670	6297205	66.61
1942	5-9	0.00111	0.00553	2.31	93211	516	464665	5922535	63.54
1942	10-14	0.00100	0.00500	2.69	92695	464	462405	5457870	58.88
1942	15-19	0.00194	0.00968	2.74	92231	893	459140	4995465	54.16
1942	20-24	0.00302	0.01499	2.61	91338	1369	453418	4536325	49.67
1942	25-29	0.00309	0.01535	2.46	89969	1381	446338	4082907	45.38
1942	30-34	0.00343	0.01703	2.6	88588	1508	439328	3636569	41.05
1942	35-39	0.00457	0.02259	2.61	87080	1967	430691	3197240	36.72
1942	40-44	0.00577	0.02848	2.64	85113	2424	419852	2766549	32.50
1942	45-49	0.00817	0.04008	2.63	82689	3314	405589	2346697	28.38
1942	50-54	0.01175	0.05719	2.64	79375	4539	386186	1941109	24.45
1942	55-59	0.01583	0.07624	2.59	74836	5705	360423	1554923	20.78
1942	60-64	0.02276	0.10807	2.67	69131	7471	328262	1194500	17.28
1942	65-69	0.03275	0.15179	2.59	61660	9359	285792	866238	14.05
1942	70-74	0.05011	0.22379	2.61	52301	11704	233589	580446	11.10
1942	75-79	0.07520	0.31885	2.62	40597	12944	172130	346857	8.54
1942	80-84	0.12584	0.47502	2.42	27652	13135	104382	174727	6.32
1942	85-89	0.18219	0.60880	2.28	14517	8838	48510	70345	4.85
1942	90-94	0.24007	0.70907	2.11	5679	4027	16774	21835	3.84
1942	95-99	0.31134	0.80262	1.98	1652	1326	4259	5061	3.06
1942	100-104	0.39689	0.87585	1.81	326	286	720	802	2.46
1942	105-109	0.48926	0.92515	1.64	40	37	77	82	2.02
1942	110+	0.56496	1.00000	1.77	3	3	5	5	1.77
1943	0	0.05673	0.05428	0.2	100000	5428	95684	6383156	63.83
1943	1-4	0.00336	0.01333	1.41	94572	1261	375021	6287471	66.48
1943	5-9	0.00107	0.00531	2.25	93311	496	465194	5912450	63.36
1943	10-14	0.00099	0.00493	2.7	92816	457	463026	5447256	58.69
1943	15-19	0.00208	0.01035	2.81	92359	955	459701	4984230	53.97
1943	20-24	0.00363	0.01800	2.57	91403	1645	453020	4524528	49.50
1943	25-29	0.00323	0.01602	2.38	89758	1438	445027	4071508	45.36
1943	30-34	0.00328	0.01625	2.58	88321	1436	438128	3626481	41.06
1943	35-39	0.00436	0.02155	2.6	86885	1873	429935	3188353	36.70
1943	40-44	0.00579	0.02854	2.6	85012	2427	419231	2758418	32.45
1943	45-49	0.00844	0.04137	2.6	82586	3417	404716	2339187	28.32
1943	50-54	0.01159	0.05639	2.6	79169	4465	385149	1934472	24.43
1943	55-59	0.01608	0.07738	2.55	74704	5780	359372	1549322	20.74
1943	60-64	0.02229	0.10582	2.62	68924	7294	327247	1189951	17.26
1943	65-69	0.03408	0.15721	2.54	61630	9689	284295	862704	14.00
1943	70-74	0.05065	0.22516	2.54	51941	11695	230905	578409	11.14
1943	75-79	0.07304	0.30846	2.48	40246	12414	169958	347503	8.63
1943	80-84	0.12662	0.47582	2.39	27832	13243	104588	177545	6.38
1943	85-89	0.17331	0.59016	2.3	14589	8610	49680	72957	5.00
1943	90-94	0.23693	0.70367	2.12	5979	4207	17758	23277	3.89
1943	95-99	0.30561	0.79629	1.99	1772	1411	4616	5519	3.12
1943	100-104	0.38947	0.87063	1.82	361	314	807	903	2.50
1943	105-109	0.48080	0.92155	1.65	47	43	89	96	2.06
1943	110+	0.55603	1.00000	1.8	4	4	7	7	1.80
1944	0	0.05247	0.05034	0.19	100000	5034	95941	6472503	64.73
1944	1-4	0.00338	0.01339	1.39	94966	1272	376540	6376562	67.15
1944	5-9	0.00106	0.00529	2.31	93694	495	467138	6000022	64.04
1944	10-14	0.00098	0.00487	2.65	93199	453	464929	5532884	59.37
1944	15-19	0.00193	0.00960	2.79	92745	890	461755	5067955	54.64
1944	20-24	0.00313	0.01553	2.53	91855	1426	455755	4606200	50.15
1944	25-29	0.00277	0.01377	2.44	90429	1245	448950	4150445	45.90
1944	30-34	0.00306	0.01521	2.57	89183	1357	442621	3701495	41.50
1944	35-39	0.00401	0.01987	2.62	87827	1745	434984	3258874	37.11
1944	40-44	0.00551	0.02716	2.54	86082	2338	424647	2823890	32.80
1944	45-49	0.00755	0.03709	2.61	83743	3106	411303	2399243	28.65
1944	50-54	0.01124	0.05471	2.61	80637	4412	392622	1987940	24.65
1944	55-59	0.01574	0.07579	2.55	76225	5777	366959	1595318	20.93
1944	60-64	0.02115	0.10063	2.6	70448	7089	335256	1228358	17.44
1944	65-69	0.03413	0.15744	2.54	63359	9975	292256	893102	14.10
1944	70-74	0.04892	0.21801	2.51	53383	11638	237914	600846	11.26
1944	75-79	0.07164	0.30295	2.45	41745	12647	176521	362932	8.69
1944	80-84	0.12404	0.46823	2.38	29099	13625	109844	186411	6.41
1944	85-89	0.17108	0.58670	2.32	15474	9078	53066	76567	4.95
1944	90-94	0.25265	0.72702	2.08	6395	4649	18403	23501	3.67
1944	95-99	0.32737	0.82008	1.96	1746	1432	4373	5098	2.92
1944	100-104	0.42388	0.89381	1.77	314	281	662	725	2.31
1944	105-109	0.52696	0.93989	1.58	33	31	59	63	1.88
1944	110+	0.61095	1.00000	1.64	2	2	3	3	1.64
1945	0	0.04928	0.04738	0.18	100000	4738	96136	6589055	65.89
1945	1-4	0.00260	0.01033	1.52	95262	984	378613	6492920	68.16
1945	5-9	0.00104	0.00517	2.25	94278	487	470050	6114306	64.85
1945	10-14	0.00103	0.00511	2.71	93791	480	467857	5644256	60.18
1945	15-19	0.00189	0.00942	2.71	93311	879	464544	5176400	55.47
1945	20-24	0.00257	0.01277	2.52	92433	1181	459238	4711856	50.98
1945	25-29	0.00255	0.01268	2.52	91252	1157	453394	4252618	46.60
1945	30-34	0.00285	0.01417	2.56	90095	1276	447365	3799224	42.17
1945	35-39	0.00376	0.01862	2.67	88819	1654	440238	3351859	37.74
1945	40-44	0.00554	0.02734	2.58	87165	2383	430065	2911621	33.40
1945	45-49	0.00742	0.03645	2.66	84781	3090	416673	2481556	29.27
1945	50-54	0.01068	0.05210	2.62	81691	4256	398332	2064883	25.28
1945	55-59	0.01539	0.07422	2.61	77435	5747	373438	1666551	21.52
1945	60-64	0.02052	0.09781	2.62	71688	7012	341759	1293113	18.04
1945	65-69	0.03190	0.14812	2.59	64676	9580	300284	951354	14.71
1945	70-74	0.04395	0.19850	2.56	55096	10937	248845	651071	11.82
1945	75-79	0.06857	0.29350	2.55	44160	12961	189021	402226	9.11
1945	80-84	0.10944	0.42668	2.42	31199	13312	121635	213205	6.83
1945	85-89	0.16749	0.58076	2.36	17887	10388	62021	91569	5.12
1945	90-94	0.23182	0.69586	2.13	7499	5218	22510	29548	3.94
1945	95-99	0.30749	0.79973	2	2281	1824	5932	7038	3.09
1945	100-104	0.40243	0.88061	1.81	457	402	999	1106	2.42
1945	105-109	0.50523	0.93222	1.62	55	51	101	107	1.96
1945	110+	0.58943	1.00000	1.7	4	4	6	6	1.70
1946	0	0.04578	0.04412	0.18	100000	4412	96362	6641542	66.42
1946	1-4	0.00238	0.00945	1.41	95588	904	380011	6545180	68.47
1946	5-9	0.00092	0.00458	2.36	94684	434	472278	6165169	65.11
1946	10-14	0.00087	0.00432	2.68	94251	408	470307	5692892	60.40
1946	15-19	0.00161	0.00804	2.74	93843	755	467509	5222584	55.65
1946	20-24	0.00233	0.01156	2.55	93088	1076	462810	4755075	51.08
1946	25-29	0.00248	0.01233	2.55	92012	1134	457283	4292265	46.65
1946	30-34	0.00278	0.01382	2.57	90878	1256	451340	3834982	42.20
1946	35-39	0.00372	0.01842	2.61	89622	1651	444168	3383642	37.75
1946	40-44	0.00493	0.02435	2.63	87971	2142	434779	2939474	33.41
1946	45-49	0.00743	0.03652	2.71	85829	3134	421972	2504695	29.18
1946	50-54	0.01062	0.05179	2.6	82695	4283	403187	2082723	25.19
1946	55-59	0.01482	0.07160	2.63	78412	5614	378765	1679536	21.42
1946	60-64	0.02028	0.09675	2.63	72798	7043	347283	1300771	17.87
1946	65-69	0.03227	0.14984	2.62	65754	9853	305335	953487	14.50
1946	70-74	0.04508	0.20325	2.58	55902	11362	252019	648152	11.59
1946	75-79	0.07212	0.30716	2.59	44540	13681	189690	396132	8.89
1946	80-84	0.11103	0.43199	2.43	30859	13331	120067	206442	6.69
1946	85-89	0.17440	0.59601	2.34	17528	10447	59900	86375	4.93
1946	90-94	0.24560	0.71871	2.11	7081	5089	20723	26475	3.74
1946	95-99	0.33074	0.82427	1.96	1992	1642	4964	5752	2.89
1946	100-104	0.43486	0.90068	1.75	350	315	725	788	2.25
1946	105-109	0.54449	0.94582	1.55	35	33	60	63	1.82
1946	110+	0.63257	1.00000	1.58	2	2	3	3	1.58
1947	0	0.04400	0.04245	0.17	100000	4245	96477	6649238	66.49
1947	1-4	0.00207	0.00824	1.48	95755	789	381037	6552761	68.43
1947	5-9	0.00081	0.00403	2.3	94966	382	473798	6171725	64.99
1947	10-14	0.00072	0.00358	2.78	94584	339	472167	5697927	60.24
1947	15-19	0.00162	0.00805	2.77	94245	759	469528	5225760	55.45
1947	20-24	0.00234	0.01165	2.53	93486	1089	464741	4756231	50.88
1947	25-29	0.00234	0.01165	2.54	92397	1076	459332	4291490	46.45
1947	30-34	0.00268	0.01332	2.55	91320	1217	453623	3832158	41.96
1947	35-39	0.00353	0.01751	2.64	90104	1578	446801	3378535	37.50
1947	40-44	0.00511	0.02527	2.65	88526	2237	437381	2931734	33.12
1947	45-49	0.00730	0.03588	2.69	86289	3096	424301	2494353	28.91
1947	50-54	0.01095	0.05335	2.62	83193	4438	405394	2070052	24.88
1947	55-59	0.01517	0.07323	2.63	78755	5767	380098	1664657	21.14
1947	60-64	0.02058	0.09807	2.6	72988	7158	347789	1284559	17.60
1947	65-69	0.03305	0.15335	2.65	65830	10095	305463	936771	14.23
1947	70-74	0.04774	0.21393	2.57	55735	11923	249752	631308	11.33
1947	75-79	0.07282	0.30957	2.58	43812	13563	186244	381556	8.71
1947	80-84	0.11585	0.44781	2.47	30249	13546	116927	195312	6.46
1947	85-89	0.18561	0.61751	2.29	16703	10314	55572	78385	4.69
1947	90-94	0.25694	0.73956	2.13	6389	4725	18389	22813	3.57
1947	95-99	0.36192	0.85292	1.9	1664	1419	3921	4424	2.66
1947	100-104	0.47910	0.92312	1.67	245	226	472	503	2.05
1947	105-109	0.59945	0.96067	1.46	19	18	30	31	1.66
1947	110+	0.69397	1.00000	1.44	1	1	1	1	1.44
1948	0	0.04758	0.04579	0.18	100000	4579	96245	6654045	66.54
1948	1-4	0.00247	0.00982	1.43	95421	937	379277	6557801	68.72
1948	5-9	0.00088	0.00439	2.41	94484	414	471349	6178523	65.39
1948	10-14	0.00075	0.00372	2.68	94070	350	469538	5707174	60.67
1948	15-19	0.00153	0.00764	2.73	93720	716	466973	5237636	55.89
1948	20-24	0.00217	0.01077	2.52	93004	1002	462533	4770663	51.30
1948	25-29	0.00213	0.01059	2.49	92002	974	457568	4308131	46.83
1948	30-34	0.00241	0.01199	2.55	91028	1091	452465	3850563	42.30
1948	35-39	0.00325	0.01613	2.65	89937	1451	446276	3398098	37.78
1948	40-44	0.00487	0.02406	2.64	88486	2129	437398	2951822	33.36
1948	45-49	0.00674	0.03315	2.63	86357	2862	424995	2514424	29.12
1948	50-54	0.01074	0.05237	2.62	83494	4373	407052	2089429	25.02
1948	55-59	0.01502	0.07250	2.6	79122	5736	381821	1682377	21.26
1948	60-64	0.02051	0.09763	2.55	73385	7165	349339	1300556	17.72
1948	65-69	0.03215	0.14934	2.62	66220	9889	307595	951217	14.36
1948	70-74	0.04739	0.21222	2.54	56331	11954	252281	643622	11.43
1948	75-79	0.07238	0.30641	2.5	44377	13598	187872	391340	8.82
1948	80-84	0.11039	0.43150	2.47	30779	13281	120308	203469	6.61
1948	85-89	0.18087	0.60720	2.29	17498	10625	58741	83161	4.75
1948	90-94	0.25747	0.74187	2.14	6873	5099	19804	24420	3.55
1948	95-99	0.37030	0.86026	1.89	1774	1526	4122	4616	2.60
1948	100-104	0.49418	0.92976	1.65	248	230	466	494	1.99
1948	105-109	0.61935	0.96504	1.43	17	17	27	28	1.61
1948	110+	0.71610	1.00000	1.4	1	1	1	1	1.40
1949	0	0.04584	0.04417	0.17	100000	4417	96356	6720681	67.21
1949	1-4	0.00215	0.00855	1.44	95583	817	380239	6624325	69.30
1949	5-9	0.00074	0.00367	2.21	94766	348	472861	6244086	65.89
1949	10-14	0.00073	0.00364	2.76	94419	344	471323	5771225	61.12
1949	15-19	0.00142	0.00706	2.67	94075	664	468827	5299902	56.34
1949	20-24	0.00193	0.00960	2.55	93410	897	464851	4831075	51.72
1949	25-29	0.00206	0.01024	2.5	92514	948	460204	4366224	47.20
1949	30-34	0.00239	0.01190	2.58	91566	1089	455192	3906020	42.66
1949	35-39	0.00312	0.01551	2.61	90477	1403	449030	3450827	38.14
1949	40-44	0.00465	0.02302	2.67	89073	2051	440596	3001798	33.70
1949	45-49	0.00692	0.03402	2.56	87023	2961	427892	2561202	29.43
1949	50-54	0.01010	0.04929	2.61	84062	4143	410390	2133310	25.38
1949	55-59	0.01462	0.07063	2.59	79919	5645	386013	1722920	21.56
1949	60-64	0.02037	0.09701	2.54	74274	7206	353652	1336907	18.00
1949	65-69	0.02999	0.14000	2.63	67068	9389	313065	983255	14.66
1949	70-74	0.04697	0.21046	2.53	57679	12139	258434	670189	11.62
1949	75-79	0.06957	0.29576	2.47	45540	13469	193603	411755	9.04
1949	80-84	0.10829	0.42547	2.48	32071	13645	126011	218152	6.80
1949	85-89	0.17389	0.58925	2.27	18426	10858	62440	92140	5.00
1949	90-94	0.22932	0.69804	2.2	7568	5283	23038	29700	3.92
1949	95-99	0.32656	0.82089	1.97	2285	1876	5745	6663	2.92
1949	100-104	0.43646	0.90230	1.75	409	369	846	918	2.24
1949	105-109	0.55455	0.94936	1.54	40	38	68	72	1.79
1949	110+	0.65048	1.00000	1.54	2	2	3	3	1.54
1950	0	0.04021	0.03889	0.16	100000	3889	96731	6781054	67.81
1950	1-4	0.00198	0.00786	1.38	96111	756	382466	6684322	69.55
1950	5-9	0.00071	0.00355	2.48	95355	339	475921	6301857	66.09
1950	10-14	0.00067	0.00337	2.63	95016	320	474322	5825936	61.32
1950	15-19	0.00130	0.00648	2.71	94696	614	472075	5351614	56.51
1950	20-24	0.00191	0.00952	2.6	94082	896	468260	4879539	51.86
1950	25-29	0.00214	0.01065	2.5	93186	992	463449	4411280	47.34
1950	30-34	0.00225	0.01117	2.6	92194	1030	458497	3947830	42.82
1950	35-39	0.00298	0.01479	2.63	91164	1348	452618	3489333	38.28
1950	40-44	0.00442	0.02189	2.68	89815	1966	444527	3036715	33.81
1950	45-49	0.00682	0.03354	2.62	87850	2946	432225	2592188	29.51
1950	50-54	0.01017	0.04966	2.65	84904	4217	414605	2159963	25.44
1950	55-59	0.01404	0.06791	2.61	80687	5479	390355	1745359	21.63
1950	60-64	0.02108	0.10036	2.61	75208	7548	358023	1355003	18.02
1950	65-69	0.02923	0.13671	2.64	67660	9250	316492	996980	14.74
1950	70-74	0.04669	0.20963	2.57	58410	12244	262265	680488	11.65
1950	75-79	0.07009	0.29852	2.52	46166	13782	196624	418223	9.06
1950	80-84	0.10919	0.42791	2.47	32384	13857	126912	221600	6.84
1950	85-89	0.16831	0.57663	2.27	18527	10683	63471	94688	5.11
1950	90-94	0.22601	0.69287	2.21	7844	5435	24046	31217	3.98
1950	95-99	0.31955	0.81324	1.98	2409	1959	6131	7171	2.98
1950	100-104	0.42281	0.89396	1.77	450	402	951	1040	2.31
1950	105-109	0.53360	0.94258	1.57	48	45	84	89	1.86
1950	110+	0.62378	1.00000	1.6	3	3	4	4	1.60
1951	0	0.04188	0.04047	0.16	100000	4047	96618	6743640	67.44
1951	1-4	0.00227	0.00902	1.37	95953	866	381536	6647023	69.27
1951	5-9	0.00070	0.00348	2.21	95088	331	474515	6265487	65.89
1951	10-14	0.00071	0.00356	2.74	94757	337	473022	5790971	61.11
1951	15-19	0.00135	0.00675	2.7	94420	637	470630	5317950	56.32
1951	20-24	0.00189	0.00940	2.61	93782	882	466801	4847320	51.69
1951	25-29	0.00216	0.01074	2.52	92901	998	462030	4380519	47.15
1951	30-34	0.00238	0.01182	2.61	91903	1086	456916	3918489	42.64
1951	35-39	0.00305	0.01513	2.6	90817	1374	450787	3461573	38.12
1951	40-44	0.00434	0.02150	2.65	89442	1923	442689	3010786	33.66
1951	45-49	0.00652	0.03211	2.65	87519	2811	430988	2568097	29.34
1951	50-54	0.01003	0.04905	2.72	84709	4155	414075	2137109	25.23
1951	55-59	0.01491	0.07199	2.6	80554	5799	388825	1723034	21.39
1951	60-64	0.02094	0.09977	2.64	74755	7458	356193	1334209	17.85
1951	65-69	0.03067	0.14287	2.61	67296	9615	313521	978016	14.53
1951	70-74	0.04647	0.20882	2.57	57682	12045	259187	664495	11.52
1951	75-79	0.07204	0.30665	2.58	45636	13994	194253	405309	8.88
1951	80-84	0.11463	0.44361	2.45	31642	14037	122448	211056	6.67
1951	85-89	0.16764	0.57679	2.3	17605	10155	60573	88608	5.03
1951	90-94	0.24237	0.71830	2.17	7451	5352	22082	28035	3.76
1951	95-99	0.33699	0.83071	1.95	2099	1744	5174	5953	2.84
1951	100-104	0.44701	0.90772	1.73	355	323	722	779	2.19
1951	105-109	0.56371	0.95179	1.52	33	31	55	58	1.76
1951	110+	0.65784	1.00000	1.52	2	2	2	2	1.52
1952	0	0.03581	0.03475	0.15	100000	3475	97037	6868422	68.68
1952	1-4	0.00173	0.00690	1.48	96525	666	384417	6771385	70.15
1952	5-9	0.00068	0.00340	2.33	95859	326	478423	6386968	66.63
1952	10-14	0.00063	0.00315	2.7	95532	301	476969	5908545	61.85
1952	15-19	0.00125	0.00622	2.74	95231	592	474816	5431576	57.04
1952	20-24	0.00171	0.00850	2.57	94639	805	471240	4956760	52.38
1952	25-29	0.00184	0.00916	2.51	93835	859	467033	4485520	47.80
1952	30-34	0.00210	0.01046	2.62	92975	972	462559	4018487	43.22
1952	35-39	0.00285	0.01415	2.61	92003	1302	456903	3555928	38.65
1952	40-44	0.00418	0.02071	2.66	90701	1878	449106	3099025	34.17
1952	45-49	0.00627	0.03091	2.68	88823	2745	437741	2649920	29.83
1952	50-54	0.00954	0.04669	2.68	86078	4019	421080	2212178	25.70
1952	55-59	0.01375	0.06659	2.61	82059	5464	397246	1791098	21.83
1952	60-64	0.02071	0.09877	2.65	76595	7565	365202	1393853	18.20
1952	65-69	0.02952	0.13771	2.57	69030	9506	322038	1028651	14.90
1952	70-74	0.04470	0.20196	2.61	59524	12021	268936	706613	11.87
1952	75-79	0.06770	0.29091	2.58	47502	13819	204111	437677	9.21
1952	80-84	0.10554	0.41649	2.47	33683	14029	132922	233567	6.93
1952	85-89	0.16571	0.57618	2.36	19655	11325	68341	100644	5.12
1952	90-94	0.23339	0.70187	2.16	8330	5847	25051	32303	3.88
1952	95-99	0.32575	0.82037	1.97	2483	2037	6254	7252	2.92
1952	100-104	0.43772	0.90319	1.75	446	403	920	997	2.24
1952	105-109	0.55793	0.95043	1.53	43	41	74	77	1.78
1952	110+	0.65531	1.00000	1.53	2	2	3	3	1.53
1953	0	0.03583	0.03477	0.15	100000	3477	97036	6896288	68.96
1953	1-4	0.00161	0.00642	1.46	96523	620	384517	6799251	70.44
1953	5-9	0.00060	0.00301	2.41	95903	288	478770	6414735	66.89
1953	10-14	0.00062	0.00308	2.77	95615	295	477415	5935964	62.08
1953	15-19	0.00129	0.00642	2.7	95320	612	475192	5458549	57.27
1953	20-24	0.00161	0.00804	2.53	94708	761	471664	4983357	52.62
1953	25-29	0.00178	0.00888	2.5	93947	835	467644	4511693	48.02
1953	30-34	0.00194	0.00967	2.59	93112	900	463393	4044049	43.43
1953	35-39	0.00284	0.01409	2.62	92212	1299	457965	3580656	38.83
1953	40-44	0.00407	0.02016	2.65	90913	1833	450261	3122692	34.35
1953	45-49	0.00627	0.03088	2.68	89080	2751	439007	2672431	30.00
1953	50-54	0.00953	0.04662	2.63	86329	4025	422112	2233423	25.87
1953	55-59	0.01407	0.06803	2.58	82305	5599	397963	1811311	22.01
1953	60-64	0.01984	0.09474	2.62	76705	7267	366255	1413348	18.43
1953	65-69	0.02926	0.13647	2.54	69438	9476	323853	1047093	15.08
1953	70-74	0.04357	0.19719	2.59	59962	11824	271367	723239	12.06
1953	75-79	0.06380	0.27490	2.49	48138	13233	207417	451873	9.39
1953	80-84	0.10563	0.41625	2.45	34905	14529	137544	244455	7.00
1953	85-89	0.15654	0.55462	2.37	20376	11301	72190	106911	5.25
1953	90-94	0.23921	0.70802	2.12	9075	6425	26860	34721	3.83
1953	95-99	0.32014	0.81450	1.98	2650	2158	6741	7861	2.97
1953	100-104	0.42918	0.89826	1.76	492	442	1029	1119	2.28
1953	105-109	0.54679	0.94709	1.55	50	47	87	91	1.81
1953	110+	0.64245	1.00000	1.56	3	3	4	4	1.56
1954	0	0.03211	0.03124	0.14	100000	3124	97304	6987616	69.88
1954	1-4	0.00143	0.00571	1.52	96876	553	386131	6890312	71.13
1954	5-9	0.00059	0.00294	2.4	96322	283	480875	6504181	67.53
1954	10-14	0.00058	0.00289	2.72	96039	278	479562	6023307	62.72
1954	15-19	0.00113	0.00565	2.69	95761	541	477555	5543745	57.89
1954	20-24	0.00149	0.00744	2.55	95220	708	474363	5066190	53.21
1954	25-29	0.00172	0.00854	2.52	94512	807	470556	4591827	48.58
1954	30-34	0.00182	0.00906	2.53	93704	849	466424	4121271	43.98
1954	35-39	0.00243	0.01208	2.67	92855	1122	461657	3654847	39.36
1954	40-44	0.00380	0.01883	2.65	91733	1727	454612	3193190	34.81
1954	45-49	0.00585	0.02888	2.67	90006	2599	443981	2738577	30.43
1954	50-54	0.00897	0.04391	2.58	87407	3838	427743	2294596	26.25
1954	55-59	0.01313	0.06365	2.58	83569	5319	404989	1866853	22.34
1954	60-64	0.01890	0.09042	2.63	78250	7075	374458	1461864	18.68
1954	65-69	0.02860	0.13365	2.56	71174	9513	332649	1087406	15.28
1954	70-74	0.04220	0.19153	2.59	61662	11810	279876	754757	12.24
1954	75-79	0.06369	0.27375	2.44	49851	13647	214271	474881	9.53
1954	80-84	0.10123	0.40223	2.45	36205	14562	143853	260611	7.20
1954	85-89	0.15274	0.54544	2.38	21642	11805	77285	116757	5.39
1954	90-94	0.22716	0.68645	2.12	9838	6753	29728	39473	4.01
1954	95-99	0.29857	0.79057	2.02	3085	2439	8167	9744	3.16
1954	100-104	0.39853	0.87879	1.82	646	568	1424	1577	2.44
1954	105-109	0.50853	0.93403	1.61	78	73	144	152	1.95
1954	110+	0.59933	1.00000	1.67	5	5	9	9	1.67
1955	0	0.03112	0.03031	0.13	100000	3031	97377	7026421	70.26
1955	1-4	0.00138	0.00550	1.49	96969	533	386543	6929044	71.46
1955	5-9	0.00052	0.00260	2.36	96437	251	481520	6542501	67.84
1955	10-14	0.00054	0.00268	2.68	96186	258	480330	6060981	63.01
1955	15-19	0.00105	0.00525	2.72	95928	504	478488	5580651	58.18
1955	20-24	0.00151	0.00753	2.56	95424	718	475365	5102162	53.47
1955	25-29	0.00161	0.00803	2.51	94705	760	471634	4626797	48.85
1955	30-34	0.00171	0.00850	2.57	93945	799	467785	4155163	44.23
1955	35-39	0.00242	0.01204	2.69	93147	1121	463140	3687379	39.59
1955	40-44	0.00356	0.01763	2.66	92025	1622	456324	3224238	35.04
1955	45-49	0.00562	0.02773	2.69	90403	2507	446216	2767914	30.62
1955	50-54	0.00869	0.04257	2.62	87896	3742	430580	2321698	26.41
1955	55-59	0.01306	0.06334	2.64	84154	5331	408182	1891118	22.47
1955	60-64	0.01824	0.08741	2.64	78824	6890	377826	1482936	18.81
1955	65-69	0.02853	0.13353	2.61	71934	9605	336706	1105110	15.36
1955	70-74	0.04046	0.18446	2.61	62328	11497	284182	768404	12.33
1955	75-79	0.06446	0.27781	2.52	50831	14121	219066	484222	9.53
1955	80-84	0.10092	0.40199	2.47	36710	14757	146221	265156	7.22
1955	85-89	0.15390	0.54755	2.37	21953	12020	78105	118935	5.42
