PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AK,b,1960-1969,0,0.03223,0.03136,0.14,100000,3136,97297,6844918,68.45
AK,b,1960-1969,1-4,0.00179,0.00715,1.55,96864,692,385761,6747621,69.66
AK,b,1960-1969,5-9,0.00073,0.00364,2.38,96172,350,479941,6361860,66.15
AK,b,1960-1969,10-14,0.00064,0.00322,2.69,95822,308,478396,5881920,61.38
AK,b,1960-1969,15-19,0.00113,0.00566,2.86,95513,541,476412,5403524,56.57
AK,b,1960-1969,20-24,0.00196,0.00973,2.55,94973,925,472599,4927112,51.88
AK,b,1960-1969,25-29,0.00204,0.01014,2.43,94048,954,467788,4454514,47.36
AK,b,1960-1969,30-34,0.00239,0.01186,2.52,93095,1105,462735,3986726,42.82
AK,b,1960-1969,35-39,0.00314,0.01556,2.6,91990,1432,456514,3523991,38.31
AK,b,1960-1969,40-44,0.00448,0.02217,2.66,90558,2008,448097,3067477,33.87
AK,b,1960-1969,45-49,0.00641,0.03156,2.56,88551,2795,435937,2619379,29.58
AK,b,1960-1969,50-54,0.00960,0.04695,2.62,85756,4026,419204,2183442,25.46
AK,b,1960-1969,55-59,0.01356,0.06570,2.65,81730,5369,396013,1764238,21.59
AK,b,1960-1969,60-64,0.02074,0.09892,2.67,76360,7554,364177,1368225,17.92
AK,b,1960-1969,65-69,0.03166,0.14631,2.42,68807,10067,318015,1004048,14.59
AK,b,1960-1969,70-74,0.04685,0.21166,2.72,58740,12433,265378,686033,11.68
AK,b,1960-1969,75-79,0.07364,0.30971,2.44,46307,14341,194761,420655,9.08
AK,b,1960-1969,80-84,0.12132,0.45830,2.33,31965,14650,120756,225894,7.07
AK,b,1960-1969,85-89,0.14620,0.52301,2.28,17315,9056,61945,105138,6.07
AK,b,1960-1969,90-94,0.17468,0.58789,2.22,8259,4856,27797,43193,5.23
AK,b,1960-1969,95-99,0.20676,0.65071,2.15,3404,2215,10712,15396,4.52
AK,b,1960-1969,100-104,0.24227,0.70939,2.08,1189,843,3481,4684,3.94
AK,b,1960-1969,105-109,0.28088,0.76231,2,346,263,938,1202,3.48
AK,b,1960-1969,110+,0.31032,1.00000,3.22,82,82,265,265,3.22
AK,b,1970-1979,0,0.01755,0.01728,0.1,100000,1728,98440,7116641,71.17
AK,b,1970-1979,1-4,0.00106,0.00421,1.55,98272,414,392072,7018201,71.42
AK,b,1970-1979,5-9,0.00048,0.00241,2.32,97858,236,488658,6626129,67.71
AK,b,1970-1979,10-14,0.00057,0.00284,2.78,97622,277,487495,6137471,62.87
AK,b,1970-1979,15-19,0.00189,0.00940,2.84,97345,915,484745,5649975,58.04
AK,b,1970-1979,20-24,0.00237,0.01176,2.38,96430,1134,479178,5165230,53.56
AK,b,1970-1979,25-29,0.00207,0.01030,2.51,95296,982,474035,4686052,49.17
AK,b,1970-1979,30-34,0.00198,0.00984,2.55,94314,928,469297,4212017,44.66
AK,b,1970-1979,35-39,0.00256,0.01274,2.61,93386,1190,464084,3742720,40.08
AK,b,1970-1979,40-44,0.00406,0.02013,2.61,92196,1855,456553,3278636,35.56
AK,b,1970-1979,45-49,0.00568,0.02803,2.64,90341,2533,445724,2822082,31.24
AK,b,1970-1979,50-54,0.00829,0.04067,2.67,87808,3572,430706,2376358,27.06
AK,b,1970-1979,55-59,0.01182,0.05751,2.69,84237,4844,409990,1945652,23.10
AK,b,1970-1979,60-64,0.01811,0.08677,2.6,79393,6889,380406,1535662,19.34
AK,b,1970-1979,65-69,0.02729,0.12793,2.56,72504,9276,339925,1155256,15.93
AK,b,1970-1979,70-74,0.04019,0.18300,2.56,63228,11571,287940,815331,12.90
AK,b,1970-1979,75-79,0.06203,0.26832,2.49,51657,13861,223470,527391,10.21
AK,b,1970-1979,80-84,0.09231,0.37351,2.45,37796,14117,152934,303922,8.04
AK,b,1970-1979,85-89,0.12737,0.47708,2.37,23679,11297,88690,150987,6.38
AK,b,1970-1979,90-94,0.17319,0.58806,2.27,12382,7281,42043,62297,5.03
AK,b,1970-1979,95-99,0.23117,0.69651,2.15,5101,3553,15368,20254,3.97
AK,b,1970-1979,100-104,0.30169,0.79173,2,1548,1226,4062,4886,3.16
AK,b,1970-1979,105-109,0.38347,0.86619,1.84,322,279,728,824,2.55
AK,b,1970-1979,110+,0.45213,1.00000,2.21,43,43,95,95,2.21
AK,b,1980-1989,0,0.01116,0.01105,0.08,100000,1105,98983,7393862,73.94
AK,b,1980-1989,1-4,0.00068,0.00273,1.65,98895,270,394945,7294879,73.76
AK,b,1980-1989,5-9,0.00037,0.00182,2.56,98625,180,492684,6899934,69.96
AK,b,1980-1989,10-14,0.00041,0.00207,2.98,98445,204,491812,6407251,65.08
AK,b,1980-1989,15-19,0.00143,0.00715,2.86,98241,702,489699,5915439,60.21
AK,b,1980-1989,20-24,0.00212,0.01053,2.51,97539,1027,485135,5425740,55.63
AK,b,1980-1989,25-29,0.00186,0.00927,2.36,96512,895,480195,4940604,51.19
AK,b,1980-1989,30-34,0.00167,0.00833,2.54,95617,796,476128,4460410,46.65
AK,b,1980-1989,35-39,0.00194,0.00966,2.52,94821,916,471829,3984282,42.02
AK,b,1980-1989,40-44,0.00247,0.01229,2.55,93905,1154,466697,3512453,37.40
AK,b,1980-1989,45-49,0.00373,0.01846,2.65,92751,1713,459722,3045756,32.84
AK,b,1980-1989,50-54,0.00611,0.03012,2.62,91038,2742,448678,2586034,28.41
AK,b,1980-1989,55-59,0.00952,0.04659,2.69,88297,4113,431965,2137356,24.21
AK,b,1980-1989,60-64,0.01394,0.06751,2.67,84183,5683,407700,1705391,20.26
AK,b,1980-1989,65-69,0.02435,0.11494,2.56,78500,9023,370497,1297691,16.53
AK,b,1980-1989,70-74,0.03973,0.18163,2.64,69477,12619,317665,927194,13.35
AK,b,1980-1989,75-79,0.05572,0.24538,2.57,56858,13952,250398,609528,10.72
AK,b,1980-1989,80-84,0.08016,0.33420,2.51,42906,14339,178887,359131,8.37
AK,b,1980-1989,85-89,0.12259,0.46569,2.42,28567,13303,108516,180244,6.31
AK,b,1980-1989,90-94,0.18300,0.61135,2.29,15264,9331,50992,71728,4.70
AK,b,1980-1989,95-99,0.26425,0.74878,2.11,5932,4442,16810,20736,3.50
AK,b,1980-1989,100-104,0.36584,0.85587,1.89,1490,1276,3487,3927,2.63
AK,b,1980-1989,105-109,0.48202,0.92430,1.67,215,199,412,440,2.05
AK,b,1980-1989,110+,0.57988,1.00000,1.72,16,16,28,28,1.72
AK,b,1990-1999,0,0.00828,0.00822,0.07,100000,822,99237,7581849,75.82
AK,b,1990-1999,1-4,0.00052,0.00207,1.81,99178,205,396264,7482612,75.45
AK,b,1990-1999,5-9,0.00023,0.00117,2.21,98973,116,494543,7086347,71.60
AK,b,1990-1999,10-14,0.00032,0.00162,2.65,98858,160,493911,6591805,66.68
AK,b,1990-1999,15-19,0.00112,0.00557,2.83,98697,550,492295,6097893,61.78
AK,b,1990-1999,20-24,0.00155,0.00774,2.39,98148,759,488752,5605599,57.11
AK,b,1990-1999,25-29,0.00160,0.00798,2.37,97388,778,484895,5116846,52.54
AK,b,1990-1999,30-34,0.00151,0.00753,2.54,96610,728,481263,4631952,47.94
AK,b,1990-1999,35-39,0.00172,0.00857,2.44,95883,822,477310,4150688,43.29
