GA: GA, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05808	0.05550	0.2	100000	5550	95565	5969847	59.70
1941-1944	1	0.00596	0.00594	0.5	94450	561	94169	5874282	62.19
1941-1944	2	0.00350	0.00350	0.5	93889	328	93724	5780113	61.56
1941-1944	3	0.00206	0.00205	0.5	93560	192	93464	5686388	60.78
1941-1944	4	0.00174	0.00174	0.5	93368	162	93287	5592924	59.90
1941-1944	5	0.00144	0.00143	0.5	93206	134	93139	5499637	59.01
1941-1944	6	0.00117	0.00117	0.5	93072	109	93018	5406498	58.09
1941-1944	7	0.00100	0.00100	0.5	92964	93	92917	5313480	57.16
1941-1944	8	0.00092	0.00092	0.5	92871	85	92828	5220563	56.21
1941-1944	9	0.00091	0.00091	0.5	92785	84	92743	5127735	55.26
1941-1944	10	0.00096	0.00096	0.5	92701	89	92657	5034992	54.31
1941-1944	11	0.00105	0.00105	0.5	92612	97	92563	4942335	53.37
1941-1944	12	0.00116	0.00116	0.5	92515	107	92461	4849772	52.42
1941-1944	13	0.00129	0.00129	0.5	92407	119	92348	4757311	51.48
1941-1944	14	0.00143	0.00143	0.5	92288	132	92222	4664963	50.55
1941-1944	15	0.00160	0.00160	0.5	92156	147	92083	4572741	49.62
1941-1944	16	0.00184	0.00184	0.5	92009	169	91924	4480658	48.70
1941-1944	17	0.00217	0.00217	0.5	91840	199	91740	4388734	47.79
1941-1944	18	0.00258	0.00257	0.5	91641	236	91523	4296993	46.89
1941-1944	19	0.00303	0.00302	0.5	91405	276	91267	4205471	46.01
1941-1944	20	0.00351	0.00350	0.5	91129	319	90969	4114204	45.15
1941-1944	21	0.00392	0.00392	0.5	90810	356	90632	4023235	44.30
1941-1944	22	0.00422	0.00421	0.5	90454	381	90264	3932603	43.48
1941-1944	23	0.00442	0.00441	0.5	90073	397	89875	3842340	42.66
1941-1944	24	0.00450	0.00449	0.5	89676	402	89475	3752465	41.84
1941-1944	25	0.00443	0.00442	0.5	89273	394	89076	3662990	41.03
1941-1944	26	0.00434	0.00433	0.5	88879	385	88686	3573914	40.21
1941-1944	27	0.00430	0.00429	0.5	88494	379	88304	3485228	39.38
1941-1944	28	0.00432	0.00431	0.5	88115	380	87924	3396924	38.55
1941-1944	29	0.00441	0.00440	0.5	87734	386	87541	3308999	37.72
1941-1944	30	0.00458	0.00457	0.5	87348	399	87149	3221458	36.88
1941-1944	31	0.00471	0.00470	0.5	86949	408	86745	3134309	36.05
1941-1944	32	0.00492	0.00491	0.5	86541	425	86328	3047564	35.22
1941-1944	33	0.00526	0.00524	0.5	86116	451	85890	2961236	34.39
1941-1944	34	0.00565	0.00563	0.5	85665	482	85424	2875346	33.57
1941-1944	35	0.00615	0.00613	0.5	85182	522	84921	2789922	32.75
1941-1944	36	0.00648	0.00646	0.5	84660	547	84386	2705001	31.95
1941-1944	37	0.00684	0.00682	0.5	84113	574	83826	2620615	31.16
1941-1944	38	0.00743	0.00740	0.5	83539	618	83230	2536788	30.37
1941-1944	39	0.00789	0.00786	0.5	82921	652	82595	2453558	29.59
1941-1944	40	0.00822	0.00818	0.5	82269	673	81933	2370963	28.82
1941-1944	41	0.00836	0.00833	0.5	81596	680	81256	2289030	28.05
1941-1944	42	0.00878	0.00874	0.5	80917	707	80563	2207774	27.28
1941-1944	43	0.00960	0.00955	0.5	80210	766	79826	2127211	26.52
1941-1944	44	0.01082	0.01077	0.5	79443	855	79016	2047384	25.77
1941-1944	45	0.01254	0.01246	0.5	78588	980	78098	1968369	25.05
1941-1944	46	0.01344	0.01335	0.5	77609	1036	77091	1890270	24.36
1941-1944	47	0.01421	0.01411	0.5	76573	1080	76032	1813180	23.68
1941-1944	48	0.01543	0.01531	0.5	75492	1156	74914	1737147	23.01
1941-1944	49	0.01641	0.01628	0.5	74336	1210	73731	1662233	22.36
1941-1944	50	0.01758	0.01742	0.5	73126	1274	72489	1588501	21.72
1941-1944	51	0.01820	0.01803	0.5	71852	1296	71204	1516012	21.10
1941-1944	52	0.01897	0.01879	0.5	70557	1326	69894	1444808	20.48
1941-1944	53	0.02027	0.02007	0.5	69231	1389	68536	1374914	19.86
1941-1944	54	0.02168	0.02145	0.5	67842	1455	67114	1306377	19.26
1941-1944	55	0.02355	0.02328	0.5	66387	1545	65614	1239263	18.67
1941-1944	56	0.02446	0.02416	0.5	64841	1567	64058	1173649	18.10
1941-1944	57	0.02482	0.02451	0.5	63275	1551	62499	1109591	17.54
1941-1944	58	0.02564	0.02532	0.5	61724	1563	60942	1047092	16.96
1941-1944	59	0.02637	0.02603	0.5	60161	1566	59378	986149	16.39
1941-1944	60	0.02737	0.02700	0.5	58595	1582	57804	926771	15.82
1941-1944	61	0.02786	0.02747	0.5	57013	1566	56230	868966	15.24
1941-1944	62	0.02910	0.02868	0.5	55447	1590	54652	812736	14.66
1941-1944	63	0.03199	0.03149	0.5	53857	1696	53009	758084	14.08
1941-1944	64	0.03514	0.03453	0.5	52161	1801	51260	705076	13.52
1941-1944	65	0.03908	0.03833	0.5	50360	1931	49394	653815	12.98
1941-1944	66	0.04001	0.03923	0.5	48429	1900	47479	604421	12.48
1941-1944	67	0.04046	0.03966	0.5	46529	1845	45607	556942	11.97
1941-1944	68	0.04283	0.04193	0.5	44684	1874	43747	511335	11.44
1941-1944	69	0.04518	0.04418	0.5	42810	1892	41865	467588	10.92
1941-1944	70	0.04948	0.04829	0.5	40919	1976	39931	425723	10.40
1941-1944	71	0.05314	0.05177	0.5	38943	2016	37935	385792	9.91
1941-1944	72	0.05688	0.05530	0.5	36927	2042	35906	347857	9.42
1941-1944	73	0.06216	0.06029	0.5	34885	2103	33833	311951	8.94
1941-1944	74	0.06675	0.06459	0.5	32782	2117	31723	278118	8.48
1941-1944	75	0.07204	0.06954	0.5	30664	2132	29598	246394	8.04
1941-1944	76	0.07511	0.07239	0.5	28532	2066	27499	216796	7.60
1941-1944	77	0.07919	0.07618	0.5	26467	2016	25459	189297	7.15
1941-1944	78	0.08888	0.08510	0.5	24450	2081	23410	163838	6.70
1941-1944	79	0.09914	0.09446	0.5	22370	2113	21313	140428	6.28
1941-1944	80	0.12719	0.11959	0.5	20257	2422	19045	119115	5.88
1941-1944	81	0.13845	0.12948	0.5	17834	2309	16680	100070	5.61
1941-1944	82	0.14891	0.13859	0.5	15525	2152	14449	83390	5.37
1941-1944	83	0.15894	0.14724	0.5	13373	1969	12389	68941	5.16
1941-1944	84	0.16821	0.15516	0.5	11404	1770	10520	56552	4.96
1941-1944	85	0.17374	0.15985	0.5	9635	1540	8865	46033	4.78
1941-1944	86	0.18252	0.16726	0.5	8095	1354	7418	37168	4.59
1941-1944	87	0.19165	0.17489	0.5	6741	1179	6151	29750	4.41
1941-1944	88	0.20111	0.18274	0.5	5562	1016	5054	23599	4.24
1941-1944	89	0.21093	0.19080	0.5	4546	867	4112	18545	4.08
1941-1944	90	0.22109	0.19908	0.5	3678	732	3312	14433	3.92
1941-1944	91	0.23159	0.20756	0.5	2946	611	2640	11121	3.78
1941-1944	92	0.24244	0.21623	0.5	2334	505	2082	8481	3.63
1941-1944	93	0.25363	0.22509	0.5	1830	412	1624	6399	3.50
1941-1944	94	0.26516	0.23412	0.5	1418	332	1252	4775	3.37
1941-1944	95	0.27701	0.24331	0.5	1086	264	954	3523	3.24
1941-1944	96	0.28919	0.25266	0.5	822	208	718	2570	3.13
1941-1944	97	0.30168	0.26214	0.5	614	161	534	1852	3.02
1941-1944	98	0.31447	0.27174	0.5	453	123	392	1318	2.91
1941-1944	99	0.32755	0.28145	0.5	330	93	284	927	2.81
1941-1944	100	0.34090	0.29125	0.5	237	69	203	643	2.71
1941-1944	101	0.35450	0.30113	0.5	168	51	143	440	2.62
1941-1944	102	0.36835	0.31106	0.5	117	37	99	298	2.53
1941-1944	103	0.38242	0.32103	0.5	81	26	68	198	2.45
1941-1944	104	0.39669	0.33103	0.5	55	18	46	131	2.38
1941-1944	105	0.41113	0.34103	0.5	37	13	30	85	2.30
1941-1944	106	0.42573	0.35101	0.5	24	9	20	54	2.24
1941-1944	107	0.44046	0.36097	0.5	16	6	13	34	2.18
1941-1944	108	0.45530	0.37087	0.5	10	4	8	21	2.13
1941-1944	109	0.47022	0.38071	0.5	6	2	5	13	2.09
1941-1944	110+	0.48519	1.00000	2.06	4	4	8	8	2.06
1945-1949	0	0.04176	0.04034	0.16	100000	4034	96599	6262834	62.63
1945-1949	1	0.00319	0.00318	0.5	95966	305	95813	6166234	64.25
1945-1949	2	0.00180	0.00180	0.5	95660	172	95574	6070421	63.46
1945-1949	3	0.00156	0.00156	0.5	95488	149	95414	5974847	62.57
1945-1949	4	0.00108	0.00108	0.5	95339	103	95288	5879433	61.67
1945-1949	5	0.00094	0.00094	0.5	95236	90	95191	5784146	60.73
1945-1949	6	0.00095	0.00095	0.5	95147	90	95102	5688954	59.79
1945-1949	7	0.00094	0.00094	0.5	95057	89	95012	5593852	58.85
1945-1949	8	0.00092	0.00092	0.5	94967	87	94924	5498840	57.90
1945-1949	9	0.00089	0.00089	0.5	94880	84	94838	5403917	56.96
1945-1949	10	0.00086	0.00086	0.5	94796	82	94755	5309079	56.01
1945-1949	11	0.00087	0.00087	0.5	94714	83	94673	5214324	55.05
1945-1949	12	0.00093	0.00093	0.5	94631	88	94587	5119651	54.10
1945-1949	13	0.00103	0.00103	0.5	94543	97	94495	5025064	53.15
1945-1949	14	0.00118	0.00117	0.5	94446	111	94391	4930569	52.21
1945-1949	15	0.00137	0.00136	0.5	94335	129	94271	4836179	51.27
1945-1949	16	0.00158	0.00157	0.5	94206	148	94132	4741908	50.34
1945-1949	17	0.00179	0.00179	0.5	94058	168	93974	4647776	49.41
1945-1949	18	0.00203	0.00203	0.5	93890	191	93794	4553802	48.50
1945-1949	19	0.00229	0.00229	0.5	93699	214	93592	4460008	47.60
1945-1949	20	0.00253	0.00252	0.5	93485	236	93367	4366416	46.71
1945-1949	21	0.00273	0.00273	0.5	93249	254	93122	4273049	45.82
1945-1949	22	0.00290	0.00290	0.5	92994	269	92860	4179927	44.95
1945-1949	23	0.00301	0.00300	0.5	92725	278	92586	4087068	44.08
1945-1949	24	0.00307	0.00307	0.5	92446	283	92305	3994482	43.21
1945-1949	25	0.00311	0.00310	0.5	92163	286	92020	3902177	42.34
1945-1949	26	0.00316	0.00316	0.5	91877	290	91732	3810157	41.47
1945-1949	27	0.00325	0.00324	0.5	91587	297	91438	3718425	40.60
1945-1949	28	0.00335	0.00335	0.5	91290	306	91137	3626987	39.73
1945-1949	29	0.00346	0.00346	0.5	90984	315	90827	3535850	38.86
1945-1949	30	0.00358	0.00358	0.5	90669	324	90507	3445023	38.00
1945-1949	31	0.00372	0.00371	0.5	90345	336	90177	3354516	37.13
1945-1949	32	0.00389	0.00388	0.5	90010	349	89835	3264339	36.27
1945-1949	33	0.00409	0.00408	0.5	89660	366	89478	3174504	35.41
1945-1949	34	0.00433	0.00433	0.5	89295	386	89101	3085026	34.55
1945-1949	35	0.00465	0.00464	0.5	88908	412	88702	2995925	33.70
1945-1949	36	0.00504	0.00502	0.5	88496	445	88274	2907223	32.85
1945-1949	37	0.00543	0.00542	0.5	88051	477	87813	2818949	32.01
1945-1949	38	0.00585	0.00583	0.5	87574	511	87319	2731136	31.19
1945-1949	39	0.00635	0.00633	0.5	87064	551	86788	2643817	30.37
1945-1949	40	0.00687	0.00684	0.5	86513	592	86217	2557029	29.56
1945-1949	41	0.00744	0.00741	0.5	85921	637	85602	2470812	28.76
1945-1949	42	0.00817	0.00814	0.5	85284	694	84937	2385210	27.97
1945-1949	43	0.00896	0.00892	0.5	84590	754	84213	2300273	27.19
1945-1949	44	0.00951	0.00947	0.5	83836	794	83439	2216059	26.43
1945-1949	45	0.01004	0.00999	0.5	83042	829	82628	2132620	25.68
1945-1949	46	0.01087	0.01082	0.5	82213	889	81768	2049993	24.94
1945-1949	47	0.01184	0.01177	0.5	81324	957	80845	1968224	24.20
1945-1949	48	0.01299	0.01291	0.5	80367	1037	79848	1887379	23.48
1945-1949	49	0.01467	0.01456	0.5	79329	1155	78752	1807531	22.79
1945-1949	50	0.01640	0.01627	0.5	78174	1272	77538	1728779	22.11
1945-1949	51	0.01763	0.01747	0.5	76903	1344	76231	1651241	21.47
1945-1949	52	0.01882	0.01864	0.5	75559	1409	74854	1575010	20.84
1945-1949	53	0.02000	0.01980	0.5	74150	1468	73416	1500156	20.23
1945-1949	54	0.02102	0.02080	0.5	72682	1512	71926	1426740	19.63
1945-1949	55	0.02203	0.02179	0.5	71170	1550	70395	1354814	19.04
1945-1949	56	0.02332	0.02305	0.5	69620	1605	68817	1284418	18.45
1945-1949	57	0.02478	0.02447	0.5	68015	1664	67183	1215601	17.87
1945-1949	58	0.02609	0.02576	0.5	66350	1709	65496	1148419	17.31
