USA: USA, Lifetables (period 5x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02760	0.02694	0.12	100000	2694	97627	6677841	66.78
1960-1969	1-4	0.00106	0.00421	1.63	97306	410	388251	6580214	67.62
1960-1969	5-9	0.00052	0.00257	2.33	96896	249	483815	6191963	63.90
1960-1969	10-14	0.00053	0.00263	2.75	96646	254	482661	5708149	59.06
1960-1969	15-19	0.00142	0.00710	2.86	96392	685	480494	5225488	54.21
1960-1969	20-24	0.00190	0.00947	2.48	95708	907	476257	4744994	49.58
1960-1969	25-29	0.00185	0.00920	2.51	94801	873	471830	4268737	45.03
1960-1969	30-34	0.00213	0.01058	2.59	93928	994	467251	3796907	40.42
1960-1969	35-39	0.00301	0.01494	2.66	92935	1389	461424	3329655	35.83
1960-1969	40-44	0.00470	0.02325	2.67	91546	2129	452779	2868231	31.33
1960-1969	45-49	0.00751	0.03692	2.67	89418	3301	439407	2415452	27.01
1960-1969	50-54	0.01222	0.05939	2.66	86117	5114	418606	1976045	22.95
1960-1969	55-59	0.01874	0.08970	2.63	81002	7266	387801	1557439	19.23
1960-1969	60-64	0.02815	0.13185	2.6	73736	9722	345384	1169637	15.86
1960-1969	65-69	0.04158	0.18869	2.55	64014	12079	290518	824253	12.88
1960-1969	70-74	0.06015	0.26185	2.53	51935	13599	226102	533735	10.28
1960-1969	75-79	0.08605	0.35318	2.46	38336	13540	157338	307633	8.02
1960-1969	80-84	0.12981	0.48574	2.41	24796	12045	92786	150294	6.06
1960-1969	85-89	0.19385	0.63280	2.26	12752	8069	41627	57509	4.51
1960-1969	90-94	0.27490	0.76210	2.08	4682	3568	12981	15881	3.39
1960-1969	95-99	0.37104	0.85929	1.88	1114	957	2580	2901	2.60
1960-1969	100-104	0.48142	0.92347	1.66	157	145	301	321	2.05
1960-1969	105-109	0.59414	0.95910	1.47	12	12	19	20	1.67
1960-1969	110+	0.68303	1.00000	1.46	0	0	1	1	1.46
1970-1979	0	0.01887	0.01855	0.1	100000	1855	98322	6844385	68.44
1970-1979	1-4	0.00082	0.00328	1.69	98145	322	391834	6746063	68.74
1970-1979	5-9	0.00044	0.00219	2.34	97823	214	488546	6354228	64.96
1970-1979	10-14	0.00046	0.00232	2.8	97609	227	487546	5865682	60.09
1970-1979	15-19	0.00150	0.00748	2.9	97382	729	485378	5378136	55.23
1970-1979	20-24	0.00208	0.01034	2.49	96654	999	480762	4892758	50.62
1970-1979	25-29	0.00194	0.00964	2.48	95655	922	475948	4411996	46.12
1970-1979	30-34	0.00206	0.01025	2.57	94732	971	471300	3936048	41.55
1970-1979	35-39	0.00280	0.01389	2.65	93762	1303	465740	3464748	36.95
1970-1979	40-44	0.00426	0.02110	2.68	92459	1951	457759	2999008	32.44
1970-1979	45-49	0.00684	0.03368	2.67	90508	3048	445426	2541249	28.08
1970-1979	50-54	0.01067	0.05202	2.65	87460	4550	426613	2095822	23.96
1970-1979	55-59	0.01650	0.07940	2.64	82910	6583	399018	1669209	20.13
1970-1979	60-64	0.02542	0.11987	2.62	76327	9149	359857	1270191	16.64
1970-1979	65-69	0.03740	0.17143	2.57	67178	11517	307949	910333	13.55
1970-1979	70-74	0.05488	0.24181	2.54	55661	13459	245256	602384	10.82
1970-1979	75-79	0.08090	0.33620	2.49	42202	14188	175384	357129	8.46
1970-1979	80-84	0.11912	0.45565	2.42	28014	12765	107158	181745	6.49
1970-1979	85-89	0.17489	0.59368	2.3	15249	9053	51764	74587	4.89
1970-1979	90-94	0.24992	0.72824	2.14	6196	4512	18055	22823	3.68
1970-1979	95-99	0.33823	0.83115	1.94	1684	1399	4138	4768	2.83
1970-1979	100-104	0.44212	0.90453	1.73	284	257	582	631	2.22
1970-1979	105-109	0.55162	0.94794	1.54	27	26	47	49	1.80
1970-1979	110+	0.63986	1.00000	1.56	1	1	2	2	1.56
1980-1989	0	0.01231	0.01217	0.08	100000	1217	98878	7096982	70.97
1980-1989	1-4	0.00061	0.00243	1.65	98783	240	394567	6998104	70.84
1980-1989	5-9	0.00030	0.00152	2.4	98543	149	492324	6603537	67.01
1980-1989	10-14	0.00035	0.00176	2.82	98393	173	491587	6111212	62.11
1980-1989	15-19	0.00121	0.00604	2.91	98220	593	489857	5619625	57.21
1980-1989	20-24	0.00172	0.00857	2.52	97626	837	486054	5129769	52.54
1980-1989	25-29	0.00178	0.00887	2.52	96790	858	481820	4643715	47.98
1980-1989	30-34	0.00202	0.01004	2.55	95931	963	477297	4161895	43.38
1980-1989	35-39	0.00248	0.01232	2.59	94968	1170	472024	3684598	38.80
1980-1989	40-44	0.00340	0.01684	2.64	93798	1580	465262	3212574	34.25
1980-1989	45-49	0.00526	0.02599	2.67	92218	2397	455501	2747312	29.79
1980-1989	50-54	0.00851	0.04172	2.67	89821	3748	440363	2291810	25.52
1980-1989	55-59	0.01352	0.06552	2.65	86073	5639	417109	1851448	21.51
1980-1989	60-64	0.02086	0.09934	2.62	80434	7991	383148	1434338	17.83
1980-1989	65-69	0.03138	0.14594	2.6	72443	10573	336875	1051191	14.51
1980-1989	70-74	0.04800	0.21495	2.57	61871	13299	277052	714315	11.55
1980-1989	75-79	0.07125	0.30268	2.52	48572	14702	206353	437264	9.00
1980-1989	80-84	0.11002	0.42933	2.44	33870	14541	132171	230911	6.82
1980-1989	85-89	0.16411	0.57029	2.33	19328	11023	67169	98739	5.11
1980-1989	90-94	0.23955	0.71355	2.17	8306	5926	24740	31570	3.80
1980-1989	95-99	0.33253	0.82647	1.96	2379	1966	5913	6830	2.87
1980-1989	100-104	0.44113	0.90452	1.74	413	373	847	917	2.22
1980-1989	105-109	0.55599	0.94952	1.53	39	37	67	70	1.79
1980-1989	110+	0.64843	1.00000	1.54	2	2	3	3	1.54
