France, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 17/10/2023
Year    Age        Exposure
1946     12       301652.10
1946     13       310576.68
1946     14       321724.65
1946     15       328574.68
1946     16       321302.93
1946     17       318261.34
1946     18       321457.27
1946     19       322740.34
1946     20       324851.95
1946     21       324808.38
1946     22       321505.31
1946     23       324893.00
1946     24       335924.96
1946     25       345011.83
1946     26       294445.37
1946     27       185464.46
1946     28       177567.90
1946     29       161320.20
1946     30       158770.53
1946     31       266480.81
1946     32       305966.81
1946     33       311418.85
1946     34       301263.88
1946     35       305165.23
1946     36       312334.07
1946     37       315511.15
1946     38       311886.68
1946     39       312374.04
1946     40       312335.95
1946     41       313578.66
1946     42       311601.12
1946     43       312730.05
1946     44       312667.12
1946     45       306401.31
1946     46       300835.20
1946     47       292884.51
1946     48       293048.41
1946     49       292694.23
1946     50       282335.37
1946     51       277487.19
1946     52       275892.76
1946     53       267841.47
1946     54       259332.24
1946     55       252661.29
1947     12       296665.04
1947     13       301418.29
1947     14       309934.37
1947     15       320002.22
1947     16       326907.65
1947     17       319366.48
1947     18       315968.52
1947     19       318973.66
1947     20       320274.01
1947     21       322633.70
1947     22       322916.06
1947     23       320099.81
1947     24       323661.55
1947     25       334558.37
1947     26       344326.77
1947     27       293690.87
1947     28       185141.84
1947     29       177528.41
1947     30       161225.42
1947     31       158404.99
1947     32       265768.49
1947     33       304979.56
1947     34       310032.93
1947     35       299857.47
1947     36       304156.69
1947     37       311053.44
1947     38       314370.17
1947     39       310822.42
1947     40       311567.08
1947     41       311191.22
1947     42       312486.50
1947     43       310462.09
1947     44       311383.14
1947     45       310839.01
1947     46       304527.68
1947     47       299069.76
1947     48       291026.12
1947     49       291199.86
1947     50       290563.02
1947     51       280228.10
1947     52       276250.57
1947     53       274486.25
1947     54       266371.87
1947     55       257642.20
1948     12       288513.20
1948     13       296811.16
1948     14       301076.28
1948     15       308487.16
1948     16       318404.83
1948     17       325101.32
1948     18       317256.65
1948     19       313599.16
1948     20       316531.15
1948     21       318013.42
1948     22       320686.19
1948     23       321433.02
1948     24       318966.39
1948     25       322376.87
1948     26       333867.13
1948     27       343600.29
1948     28       293149.78
1948     29       185106.94
1948     30       177523.92
1948     31       161004.67
1948     32       158036.69
1948     33       265075.42
1948     34       303790.32
1948     35       308618.52
1948     36       298884.15
1948     37       303039.11
1948     38       309980.57
1948     39       313294.08
1948     40       310039.11
1948     41       310565.54
1948     42       310134.43
1948     43       311390.05
1948     44       309271.00
1948     45       309630.39
1948     46       308938.69
1948     47       302746.15
1948     48       297155.93
1948     49       289190.82
1948     50       289113.48
1948     51       288282.63
1948     52       278825.46
1948     53       274938.16
1948     54       273090.35
1948     55       264753.13
1949     12       284627.58
1949     13       288729.38
1949     14       296736.99
1949     15       300780.58
1949     16       307917.25
1949     17       317693.11
1949     18       324307.04
1949     19       316335.77
1949     20       312597.93
1949     21       315464.57
1949     22       316992.70
1949     23       319733.62
1949     24       320613.33
1949     25       318217.35
1949     26       321580.84
1949     27       333217.73
1949     28       342925.90
1949     29       292580.75
1949     30       184797.79
1949     31       177260.11
1949     32       160703.31
1949     33       157672.65
1949     34       264420.75
1949     35       302955.05
1949     36       307671.27
1949     37       298018.33
1949     38       302140.44
1949     39       309033.48
1949     40       312257.98
1949     41       309033.89
1949     42       309561.88
1949     43       309016.04
1949     44       310183.38
1949     45       308009.70
1949     46       308142.62
1949     47       307349.35
1949     48       301088.48
1949     49       295388.50
1949     50       287368.30
1949     51       287186.49
1949     52       286220.62
1949     53       276908.44
1949     54       272963.34
1949     55       270960.62
1950     12       281327.93
1950     13       284613.22
1950     14       288693.27
1950     15       296543.99
1950     16       300530.01
1950     17       307518.16
1950     18       317209.50
1950     19       323763.48
1950     20       315744.23
1950     21       311977.04
1950     22       314782.32
1950     23       316327.44
1950     24       319074.54
1950     25       319998.17
1950     26       317613.52
1950     27       320957.28
1950     28       332610.85
1950     29       342307.13
1950     30       292028.16
1950     31       184472.83
1950     32       176935.14
1950     33       160362.73
1950     34       157319.07
1950     35       263796.57
1950     36       302149.67
1950     37       306822.78
1950     38       297182.80
1950     39       301293.32
1950     40       308090.26
1950     41       311217.46
1950     42       308035.94
1950     43       308467.23
1950     44       307832.22
1950     45       308965.21
1950     46       306635.34
1950     47       306653.40
1950     48       305739.63
1950     49       299355.41
1950     50       293614.24
1950     51       285527.75
1950     52       285165.79
1950     53       284085.78
1950     54       274701.36
1950     55       270667.27
1951     12       278240.05
1951     13       281541.61
1951     14       284743.89
1951     15       288696.02
1951     16       296541.31
1951     17       300306.71
1951     18       307179.81
1951     19       316641.47
1951     20       323187.17
1951     21       315135.65
1951     22       311244.68
1951     23       314016.93
1951     24       315543.85
1951     25       318346.58
1951     26       319298.39
1951     27       316984.17
1951     28       320317.12
1951     29       331951.79
1951     30       341721.47
1951     31       291477.34
1951     32       184120.36
1951     33       176642.52
1951     34       160093.47
1951     35       156968.80
1951     36       263145.77
1951     37       301410.64
1951     38       305923.53
1951     39       296293.82
1951     40       300429.17
1951     41       307083.89
1951     42       310171.59
1951     43       306995.69
1951     44       307381.68
1951     45       306599.78
1951     46       307623.89
1951     47       305183.99
1951     48       305072.26
1951     49       303970.69
1951     50       297508.42
1951     51       291697.72
1951     52       283543.69
1951     53       283015.28
1951     54       281727.85
1951     55       272293.74
1952     12       272627.61
1952     13       278590.05
1952     14       281831.08
1952     15       284885.91
1952     16       288796.77
1952     17       296450.91
1952     18       300051.28
1952     19       306698.36
1952     20       316058.29
1952     21       322549.71
1952     22       314411.96
1952     23       310434.20
1952     24       313188.23
1952     25       314740.55
1952     26       317598.10
1952     27       318624.81
1952     28       316383.82
1952     29       319689.87
1952     30       331404.85
1952     31       341155.38
1952     32       290942.77
1952     33       183834.98
1952     34       176395.85
1952     35       159794.72
1952     36       156630.74
1952     37       262553.63
1952     38       300598.50
1952     39       305001.78
1952     40       295416.57
1952     41       299484.54
1952     42       306067.02
1952     43       309139.91
1952     44       305902.73
1952     45       306186.73
1952     46       305304.06
1952     47       306195.65
1952     48       303685.36
1952     49       303400.32
1952     50       302064.86
1952     51       295566.90
1952     52       289669.99
1952     53       281393.22
1952     54       280698.05
1952     55       279257.81
1953     12       233512.51
1953     13       272743.75
1953     14       278700.90
1953     15       281908.94
1953     16       284865.44
1953     17       288749.52
1953     18       296291.50
1953     19       299826.29
1953     20       306331.00
1953     21       315628.31
1953     22       322090.58
1953     23       313890.65
1953     24       309896.29
1953     25       312628.70
1953     26       314161.21
1953     27       317047.56
1953     28       318119.86
1953     29       315907.47
1953     30       319159.29
1953     31       330912.99
1953     32       340589.49
1953     33       290457.68
1953     34       183529.97
1953     35       176082.88
1953     36       159473.29
1953     37       156296.94
1953     38       261945.84
1953     39       299814.06
1953     40       304139.89
1953     41       294569.91
1953     42       298538.18
1953     43       305060.36
1953     44       308011.13
1953     45       304761.23
1953     46       304925.23
1953     47       303940.80
1953     48       304751.01
1953     49       302121.16
1953     50       301599.66
1953     51       300161.10
1953     52       293550.37
1953     53       287540.89
1953     54       279176.33
1953     55       278352.77
1954     12       254644.77
1954     13       233527.14
1954     14       272754.21
1954     15       278673.75
1954     16       281824.38
1954     17       284775.05
1954     18       288679.87
1954     19       296145.15
1954     20       299768.13
1954     21       306219.88
1954     22       315551.93
1954     23       321924.28
1954     24       313798.19
1954     25       309827.59
1954     26       312534.92
1954     27       314070.69
1954     28       316887.02
1954     29       317989.07
1954     30       315714.09
1954     31       318926.59
1954     32       330658.86
1954     33       340218.12
1954     34       290143.60
1954     35       183342.80
1954     36       175831.20
1954     37       159252.57
1954     38       156083.44
1954     39       261534.20
1954     40       299252.54
1954     41       303473.99
1954     42       293919.95
1954     43       297729.63
1954     44       304146.29
1954     45       307006.05
1954     46       303663.52
1954     47       303661.75
1954     48       302543.13
1954     49       303284.27
1954     50       300467.85
1954     51       299840.18
1954     52       298305.00
1954     53       291600.38
1954     54       285467.38
1954     55       277015.77
1955     12       273062.01
1955     13       255083.72
1955     14       233641.93
1955     15       272823.11
1955     16       278654.84
1955     17       281733.92
1955     18       284796.78
1955     19       288772.51
1955     20       296210.59
1955     21       300229.20
1955     22       306653.42
1955     23       316087.65
1955     24       322394.33
1955     25       314457.33
1955     26       310637.09
1955     27       313383.16
1955     28       314790.53
1955     29       317460.05
1955     30       318597.68
1955     31       316300.30
1955     32       319344.89
1955     33       330979.54
1955     34       340245.62
1955     35       290352.31
1955     36       183494.74
1955     37       175928.33
1955     38       159370.90
1955     39       156243.62
1955     40       261664.24
1955     41       299161.60
1955     42       303328.56
1955     43       293739.20
1955     44       297256.79
1955     45       303634.59
1955     46       306267.01
1955     47       302723.04
1955     48       302416.75
1955     49       301297.48
1955     50       301906.20
1955     51       298992.14
1955     52       298257.85
1955     53       296741.46
1955     54       289903.10
1955     55       283499.47
1956     12       286904.98
1956     13       274048.77
1956     14       255759.68
1956     15       233872.59
1956     16       273003.68
1956     17       278679.65
1956     18       281711.23
1956     19       284989.54
1956     20       288975.49
1956     21       296643.35
1956     22       301131.16
1956     23       307595.41
1956     24       317142.89
1956     25       323425.52
1956     26       315813.77
1956     27       312253.71
1956     28       314981.60
1956     29       316180.62
1956     30       318692.95
1956     31       319934.23
1956     32       317491.63
1956     33       320311.22
1956     34       331708.62
1956     35       340709.89
1956     36       290981.58
1956     37       183973.86
1956     38       176325.28
1956     39       159811.37
1956     40       156727.98
1956     41       262260.78
1956     42       299497.71
1956     43       303664.96
1956     44       293903.08
1956     45       297136.08
1956     46       303379.39
1956     47       305682.09
1956     48       301826.22
1956     49       301253.34
1956     50       300099.87
1956     51       300639.91
1956     52       297589.36
1956     53       296782.27
1956     54       295324.29
1956     55       288276.88
1957     12       289460.61
1957     13       288448.58
1957     14       275277.82
1957     15       256575.96
1957     16       234167.48
1957     17       273228.47
1957     18       278715.17
1957     19       281707.43
1957     20       285259.27
1957     21       289261.70
1957     22       297269.12
1957     23       302253.65
1957     24       308841.88
1957     25       318482.08
1957     26       324740.94
1957     27       317604.67
1957     28       314307.99
1957     29       317031.24
1957     30       317977.59
1957     31       320289.90
1957     32       321638.38
1957     33       319041.85
1957     34       321612.27
1957     35       332680.17
1957     36       341378.42
1957     37       291902.11
1957     38       184639.67
1957     39       176895.39
1957     40       160419.32
1957     41       157429.00
1957     42       263107.69
1957     43       300087.81
1957     44       304236.01
1957     45       294218.06
1957     46       297171.04
1957     47       303217.25
1957     48       305207.91
1957     49       301027.17
1957     50       300057.45
1957     51       298970.00
1957     52       299410.14
1957     53       296165.14
1957     54       295308.84
1957     55       294024.13
1958     12       344129.63
1958     13       290799.47
1958     14       289696.01
1958     15       276330.65
1958     16       257136.61
1958     17       234387.12
1958     18       273388.28
1958     19       278694.08
1958     20       281716.96
1958     21       285522.39
1958     22       289443.40
1958     23       297916.04
1958     24       303165.36
1958     25       309949.61
1958     26       319533.52
1958     27       325955.17
1958     28       319177.85
1958     29       316049.48
1958     30       318768.33
1958     31       319428.09
1958     32       321642.56
1958     33       323112.28
1958     34       320285.86
1958     35       322676.21
1958     36       333371.83
1958     37       341965.48
1958     38       292649.12
1958     39       185155.02
1958     40       177353.09
1958     41       160936.92
1958     42       157995.82
1958     43       263740.35
1958     44       300441.93
1958     45       304594.65
1958     46       294322.74
1958     47       297039.93
1958     48       302879.25
1958     49       304616.99
1958     50       300008.22
1958     51       298891.25
1958     52       297780.24
1958     53       298109.12
1958     54       294612.26
1958     55       293877.91
1959     12       401958.83
1959     13       344846.46
1959     14       291707.06
1959     15       290627.84
1959     16       277065.56
1959     17       257574.25
1959     18       234517.80
1959     19       273483.49
1959     20       278644.39
1959     21       281657.46
1959     22       285633.57
1959     23       289519.35
1959     24       298245.57
1959     25       303804.88
1959     26       310672.68
1959     27       320271.62
1959     28       326736.40
1959     29       320231.47
1959     30       317253.07
1959     31       319962.37
1959     32       320427.07
1959     33       322545.81
1959     34       324096.47
1959     35       321123.41
1959     36       323313.78
1959     37       333780.36
1959     38       342236.75
1959     39       293031.35
1959     40       185438.75
1959     41       177574.78
1959     42       161205.15
1959     43       158294.45
1959     44       263965.87
1959     45       300500.57
1959     46       304599.75
1959     47       294079.93
1959     48       296632.77
1959     49       302302.03
1959     50       303789.86
1959     51       298890.16
1959     52       297552.21
1959     53       296452.57
1959     54       296609.10
1959     55       292970.68
1960     12       409085.00
1960     13       402840.57
1960     14       345534.36
1960     15       292591.53
1960     16       291538.35
1960     17       277779.16
1960     18       258009.71
1960     19       234637.29
1960     20       273550.01
1960     21       278581.92
1960     22       281572.26
1960     23       285711.75
1960     24       289577.02
1960     25       298560.43
1960     26       304427.18
1960     27       311353.35
1960     28       320991.50
1960     29       327482.13
1960     30       321247.33
1960     31       318404.36
1960     32       321121.59
1960     33       321405.62
1960     34       323421.71
1960     35       325031.72
1960     36       321896.37
1960     37       323893.38
1960     38       334155.78
1960     39       342420.83
1960     40       293334.38
1960     41       185671.55
1960     42       177755.97
1960     43       161436.95
1960     44       158539.72
1960     45       264183.40
1960     46       300426.49
1960     47       304459.01
1960     48       293800.86
1960     49       296123.29
1960     50       301607.01
1960     51       302848.88
1960     52       297645.57
1960     53       296114.98
1960     54       294965.59
1960     55       295021.14
1961     12       414099.43
1961     13       410428.37
1961     14       403875.92
1961     15       346333.43
1961     16       293583.35
1961     17       292601.11
1961     18       278607.36
1961     19       258528.44
1961     20       234786.00
1961     21       273657.25
1961     22       278546.67
1961     23       281508.99
1961     24       285821.05
1961     25       289707.68
1961     26       298916.78
1961     27       305172.54
1961     28       312149.57
1961     29       321876.53
1961     30       328341.97
1961     31       322428.07
1961     32       319751.59
1961     33       322492.52
1961     34       322582.68
1961     35       324438.41
