NH: NH, Lifetables (period 1x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03588	0.03482	0.15	100000	3482	97033	6760483	67.60
1941-1949	1	0.00266	0.00266	0.5	96518	257	96390	6663449	69.04
1941-1949	2	0.00170	0.00170	0.5	96261	163	96180	6567060	68.22
1941-1949	3	0.00129	0.00129	0.5	96098	124	96036	6470880	67.34
1941-1949	4	0.00116	0.00116	0.5	95974	112	95918	6374844	66.42
1941-1949	5	0.00101	0.00101	0.5	95862	97	95814	6278926	65.50
1941-1949	6	0.00088	0.00088	0.5	95765	84	95723	6183112	64.57
1941-1949	7	0.00077	0.00077	0.5	95681	74	95644	6087389	63.62
1941-1949	8	0.00070	0.00070	0.5	95607	67	95574	5991744	62.67
1941-1949	9	0.00065	0.00065	0.5	95541	62	95510	5896170	61.71
1941-1949	10	0.00063	0.00063	0.5	95479	60	95449	5800661	60.75
1941-1949	11	0.00063	0.00063	0.5	95419	61	95388	5705212	59.79
1941-1949	12	0.00067	0.00067	0.5	95358	63	95326	5609824	58.83
1941-1949	13	0.00072	0.00072	0.5	95295	69	95260	5514497	57.87
1941-1949	14	0.00081	0.00081	0.5	95226	77	95187	5419237	56.91
1941-1949	15	0.00091	0.00091	0.5	95149	86	95106	5324050	55.95
1941-1949	16	0.00100	0.00100	0.5	95063	95	95015	5228944	55.01
1941-1949	17	0.00107	0.00107	0.5	94968	102	94917	5133929	54.06
1941-1949	18	0.00114	0.00114	0.5	94866	108	94812	5039012	53.12
1941-1949	19	0.00119	0.00119	0.5	94758	112	94702	4944199	52.18
1941-1949	20	0.00122	0.00122	0.5	94646	115	94588	4849497	51.24
1941-1949	21	0.00126	0.00126	0.5	94531	119	94471	4754909	50.30
1941-1949	22	0.00130	0.00130	0.5	94412	123	94350	4660438	49.36
1941-1949	23	0.00134	0.00134	0.5	94289	126	94226	4566087	48.43
1941-1949	24	0.00138	0.00138	0.5	94162	130	94097	4471862	47.49
1941-1949	25	0.00142	0.00142	0.5	94032	133	93966	4377765	46.56
1941-1949	26	0.00146	0.00146	0.5	93899	137	93831	4283799	45.62
1941-1949	27	0.00150	0.00150	0.5	93762	141	93692	4189968	44.69
1941-1949	28	0.00156	0.00156	0.5	93621	146	93548	4096277	43.75
1941-1949	29	0.00162	0.00162	0.5	93476	151	93400	4002728	42.82
1941-1949	30	0.00169	0.00169	0.5	93324	158	93245	3909328	41.89
1941-1949	31	0.00178	0.00178	0.5	93166	166	93083	3816083	40.96
1941-1949	32	0.00191	0.00191	0.5	93000	178	92912	3723000	40.03
1941-1949	33	0.00208	0.00207	0.5	92823	193	92727	3630088	39.11
1941-1949	34	0.00228	0.00228	0.5	92630	211	92525	3537361	38.19
1941-1949	35	0.00253	0.00253	0.5	92419	233	92302	3444837	37.27
1941-1949	36	0.00276	0.00275	0.5	92186	254	92059	3352534	36.37
1941-1949	37	0.00297	0.00296	0.5	91932	272	91796	3260476	35.47
1941-1949	38	0.00317	0.00316	0.5	91660	290	91515	3168680	34.57
1941-1949	39	0.00335	0.00334	0.5	91370	305	91217	3077165	33.68
1941-1949	40	0.00352	0.00351	0.5	91064	320	90904	2985948	32.79
1941-1949	41	0.00373	0.00372	0.5	90744	338	90576	2895044	31.90
1941-1949	42	0.00404	0.00403	0.5	90407	365	90225	2804468	31.02
1941-1949	43	0.00444	0.00443	0.5	90042	399	89843	2714244	30.14
1941-1949	44	0.00491	0.00490	0.5	89643	439	89423	2624401	29.28
1941-1949	45	0.00548	0.00546	0.5	89204	487	88960	2534978	28.42
1941-1949	46	0.00601	0.00599	0.5	88717	531	88451	2446018	27.57
1941-1949	47	0.00651	0.00649	0.5	88185	572	87899	2357567	26.73
1941-1949	48	0.00706	0.00704	0.5	87613	616	87305	2269668	25.91
1941-1949	49	0.00765	0.00762	0.5	86996	663	86665	2182363	25.09
1941-1949	50	0.00829	0.00825	0.5	86333	713	85977	2095699	24.27
1941-1949	51	0.00893	0.00889	0.5	85621	761	85240	2009721	23.47
1941-1949	52	0.00971	0.00966	0.5	84859	820	84449	1924481	22.68
1941-1949	53	0.01067	0.01061	0.5	84039	892	83593	1840032	21.89
1941-1949	54	0.01178	0.01171	0.5	83147	974	82661	1756439	21.12
1941-1949	55	0.01307	0.01299	0.5	82174	1067	81640	1673778	20.37
1941-1949	56	0.01435	0.01424	0.5	81107	1155	80529	1592138	19.63
1941-1949	57	0.01561	0.01549	0.5	79951	1238	79332	1511609	18.91
1941-1949	58	0.01687	0.01673	0.5	78713	1317	78054	1432277	18.20
1941-1949	59	0.01819	0.01803	0.5	77396	1395	76698	1354223	17.50
1941-1949	60	0.01955	0.01936	0.5	76000	1471	75265	1277525	16.81
1941-1949	61	0.02089	0.02067	0.5	74529	1541	73759	1202260	16.13
1941-1949	62	0.02260	0.02235	0.5	72989	1631	72173	1128501	15.46
1941-1949	63	0.02469	0.02439	0.5	71358	1740	70487	1056327	14.80
1941-1949	64	0.02689	0.02653	0.5	69617	1847	68694	985840	14.16
1941-1949	65	0.02959	0.02916	0.5	67770	1976	66782	917146	13.53
1941-1949	66	0.03238	0.03186	0.5	65794	2096	64746	850364	12.92
1941-1949	67	0.03533	0.03472	0.5	63698	2211	62592	785618	12.33
1941-1949	68	0.03880	0.03806	0.5	61486	2340	60316	723026	11.76
1941-1949	69	0.04247	0.04158	0.5	59146	2459	57917	662709	11.20
1941-1949	70	0.04643	0.04538	0.5	56687	2572	55401	604793	10.67
1941-1949	71	0.05030	0.04906	0.5	54115	2655	52787	549392	10.15
1941-1949	72	0.05473	0.05328	0.5	51459	2742	50089	496605	9.65
1941-1949	73	0.05984	0.05811	0.5	48718	2831	47303	446516	9.17
1941-1949	74	0.06495	0.06291	0.5	45887	2887	44444	399214	8.70
1941-1949	75	0.07101	0.06858	0.5	43000	2949	41526	354770	8.25
1941-1949	76	0.07756	0.07467	0.5	40051	2991	38556	313244	7.82
1941-1949	77	0.08408	0.08069	0.5	37061	2990	35566	274688	7.41
1941-1949	78	0.09176	0.08773	0.5	34071	2989	32576	239122	7.02
1941-1949	79	0.10070	0.09588	0.5	31081	2980	29591	206546	6.65
1941-1949	80	0.10287	0.09784	0.5	28101	2749	26727	176955	6.30
1941-1949	81	0.11275	0.10673	0.5	25352	2706	23999	150228	5.93
1941-1949	82	0.12344	0.11626	0.5	22646	2633	21330	126229	5.57
1941-1949	83	0.13498	0.12645	0.5	20013	2531	18748	104899	5.24
1941-1949	84	0.14741	0.13729	0.5	17483	2400	16283	86151	4.93
1941-1949	85	0.16077	0.14881	0.5	15082	2244	13960	69868	4.63
1941-1949	86	0.17509	0.16100	0.5	12838	2067	11805	55908	4.35
1941-1949	87	0.19039	0.17384	0.5	10771	1872	9835	44104	4.09
1941-1949	88	0.20667	0.18732	0.5	8899	1667	8065	34269	3.85
1941-1949	89	0.22397	0.20141	0.5	7232	1457	6504	26203	3.62
1941-1949	90	0.24225	0.21608	0.5	5775	1248	5151	19700	3.41
1941-1949	91	0.26153	0.23128	0.5	4527	1047	4004	14549	3.21
1941-1949	92	0.28175	0.24696	0.5	3480	859	3050	10545	3.03
1941-1949	93	0.30290	0.26306	0.5	2621	689	2276	7494	2.86
1941-1949	94	0.32491	0.27950	0.5	1931	540	1661	5218	2.70
1941-1949	95	0.34771	0.29621	0.5	1392	412	1185	3557	2.56
1941-1949	96	0.37123	0.31311	0.5	979	307	826	2372	2.42
1941-1949	97	0.39538	0.33012	0.5	673	222	562	1545	2.30
1941-1949	98	0.42004	0.34714	0.5	451	156	372	984	2.18
1941-1949	99	0.44511	0.36408	0.5	294	107	241	611	2.08
1941-1949	100	0.47046	0.38087	0.5	187	71	151	371	1.98
1941-1949	101	0.49597	0.39742	0.5	116	46	93	219	1.89
1941-1949	102	0.52150	0.41364	0.5	70	29	55	127	1.81
1941-1949	103	0.54692	0.42948	0.5	41	18	32	71	1.74
1941-1949	104	0.57211	0.44485	0.5	23	10	18	39	1.67
1941-1949	105	0.59693	0.45972	0.5	13	6	10	21	1.61
1941-1949	106	0.62127	0.47402	0.5	7	3	5	11	1.55
1941-1949	107	0.64502	0.48772	0.5	4	2	3	6	1.51
1941-1949	108	0.66808	0.50080	0.5	2	1	1	3	1.46
1941-1949	109	0.69038	0.51322	0.5	1	0	1	1	1.43
1941-1949	110+	0.71182	1.00000	1.4	0	0	1	1	1.40
1950-1959	0	0.02449	0.02397	0.12	100000	2397	97883	7012147	70.12
1950-1959	1	0.00163	0.00163	0.5	97603	159	97524	6914264	70.84
1950-1959	2	0.00109	0.00109	0.5	97444	106	97391	6816741	69.96
1950-1959	3	0.00072	0.00072	0.5	97338	70	97303	6719349	69.03
1950-1959	4	0.00067	0.00067	0.5	97268	65	97236	6622046	68.08
1950-1959	5	0.00061	0.00061	0.5	97203	59	97174	6524810	67.13
1950-1959	6	0.00057	0.00057	0.5	97144	55	97116	6427637	66.17
1950-1959	7	0.00054	0.00054	0.5	97089	52	97063	6330520	65.20
1950-1959	8	0.00047	0.00047	0.5	97036	46	97014	6233458	64.24
1950-1959	9	0.00044	0.00044	0.5	96991	42	96969	6136444	63.27
1950-1959	10	0.00042	0.00042	0.5	96948	41	96928	6039475	62.30
1950-1959	11	0.00037	0.00037	0.5	96908	36	96890	5942547	61.32
1950-1959	12	0.00044	0.00044	0.5	96872	43	96851	5845657	60.34
1950-1959	13	0.00043	0.00042	0.5	96829	41	96809	5748806	59.37
1950-1959	14	0.00061	0.00061	0.5	96788	59	96759	5651998	58.40
1950-1959	15	0.00064	0.00064	0.5	96729	62	96698	5555239	57.43
1950-1959	16	0.00081	0.00081	0.5	96667	79	96627	5458541	56.47
1950-1959	17	0.00094	0.00094	0.5	96588	91	96542	5361914	55.51
1950-1959	18	0.00102	0.00102	0.5	96497	98	96448	5265372	54.57
1950-1959	19	0.00111	0.00111	0.5	96398	107	96345	5168924	53.62
1950-1959	20	0.00114	0.00114	0.5	96291	109	96237	5072579	52.68
1950-1959	21	0.00106	0.00106	0.5	96182	102	96131	4976343	51.74
1950-1959	22	0.00119	0.00119	0.5	96080	114	96023	4880212	50.79
1950-1959	23	0.00103	0.00103	0.5	95966	99	95916	4784189	49.85
1950-1959	24	0.00101	0.00101	0.5	95867	97	95819	4688273	48.90
1950-1959	25	0.00099	0.00099	0.5	95770	95	95723	4592454	47.95
1950-1959	26	0.00096	0.00096	0.5	95675	92	95630	4496731	47.00
1950-1959	27	0.00099	0.00099	0.5	95584	95	95536	4401102	46.04
1950-1959	28	0.00105	0.00105	0.5	95489	101	95439	4305565	45.09
1950-1959	29	0.00117	0.00117	0.5	95388	112	95332	4210127	44.14
1950-1959	30	0.00123	0.00123	0.5	95276	117	95218	4114794	43.19
1950-1959	31	0.00124	0.00124	0.5	95159	118	95100	4019577	42.24
1950-1959	32	0.00137	0.00137	0.5	95041	130	94976	3924477	41.29
1950-1959	33	0.00147	0.00147	0.5	94911	139	94841	3829501	40.35
1950-1959	34	0.00153	0.00153	0.5	94771	145	94699	3734660	39.41
1950-1959	35	0.00165	0.00165	0.5	94627	156	94548	3639961	38.47
1950-1959	36	0.00194	0.00194	0.5	94470	183	94379	3545412	37.53
1950-1959	37	0.00193	0.00193	0.5	94287	182	94196	3451033	36.60
1950-1959	38	0.00218	0.00217	0.5	94106	205	94003	3356837	35.67
1950-1959	39	0.00245	0.00245	0.5	93901	230	93786	3262834	34.75
1950-1959	40	0.00265	0.00265	0.5	93671	248	93547	3169048	33.83
1950-1959	41	0.00308	0.00308	0.5	93423	287	93279	3075501	32.92
1950-1959	42	0.00329	0.00329	0.5	93135	306	92982	2982221	32.02
1950-1959	43	0.00371	0.00370	0.5	92829	343	92658	2889239	31.12
1950-1959	44	0.00412	0.00412	0.5	92486	381	92296	2796581	30.24
1950-1959	45	0.00436	0.00435	0.5	92105	401	91905	2704285	29.36
1950-1959	46	0.00497	0.00496	0.5	91704	455	91477	2612381	28.49
1950-1959	47	0.00537	0.00536	0.5	91250	489	91005	2520904	27.63
1950-1959	48	0.00602	0.00601	0.5	90761	545	90488	2429898	26.77
1950-1959	49	0.00671	0.00669	0.5	90216	603	89914	2339410	25.93
1950-1959	50	0.00750	0.00748	0.5	89613	670	89278	2249496	25.10
1950-1959	51	0.00803	0.00800	0.5	88943	711	88587	2160218	24.29
1950-1959	52	0.00933	0.00929	0.5	88231	820	87822	2071631	23.48
1950-1959	53	0.01000	0.00995	0.5	87412	870	86977	1983809	22.70
1950-1959	54	0.01095	0.01089	0.5	86542	942	86071	1896833	21.92
1950-1959	55	0.01199	0.01192	0.5	85600	1020	85089	1810762	21.15
1950-1959	56	0.01286	0.01277	0.5	84579	1080	84039	1725672	20.40
1950-1959	57	0.01411	0.01401	0.5	83499	1170	82914	1641633	19.66
1950-1959	58	0.01526	0.01515	0.5	82329	1247	81706	1558719	18.93
1950-1959	59	0.01678	0.01664	0.5	81082	1349	80407	1477014	18.22
1950-1959	60	0.01819	0.01803	0.5	79733	1437	79014	1396606	17.52
1950-1959	61	0.01945	0.01926	0.5	78296	1508	77542	1317592	16.83
1950-1959	62	0.02112	0.02090	0.5	76788	1605	75985	1240050	16.15
1950-1959	63	0.02248	0.02223	0.5	75183	1671	74347	1164065	15.48
1950-1959	64	0.02487	0.02457	0.5	73511	1806	72608	1089718	14.82
1950-1959	65	0.02693	0.02657	0.5	71705	1905	70753	1017109	14.18
1950-1959	66	0.02977	0.02934	0.5	69800	2048	68776	946357	13.56
1950-1959	67	0.03267	0.03215	0.5	67752	2178	66663	877580	12.95
1950-1959	68	0.03512	0.03452	0.5	65574	2264	64443	810917	12.37
1950-1959	69	0.03808	0.03737	0.5	63311	2366	62128	746474	11.79
1950-1959	70	0.04276	0.04186	0.5	60945	2551	59669	684346	11.23
1950-1959	71	0.04595	0.04492	0.5	58394	2623	57082	624677	10.70
1950-1959	72	0.05082	0.04956	0.5	55771	2764	54389	567595	10.18
1950-1959	73	0.05460	0.05315	0.5	53007	2817	51598	513206	9.68
1950-1959	74	0.06035	0.05858	0.5	50190	2940	48720	461607	9.20
1950-1959	75	0.06493	0.06289	0.5	47249	2971	45764	412888	8.74
1950-1959	76	0.06958	0.06724	0.5	44278	2977	42790	367124	8.29
1950-1959	77	0.07517	0.07244	0.5	41301	2992	39805	324334	7.85
1950-1959	78	0.08331	0.07997	0.5	38309	3064	36777	284530	7.43
1950-1959	79	0.09040	0.08649	0.5	35245	3048	33721	247753	7.03
1950-1959	80	0.09411	0.08988	0.5	32197	2894	30750	214032	6.65
1950-1959	81	0.10336	0.09828	0.5	29303	2880	27863	183282	6.25
1950-1959	82	0.11341	0.10732	0.5	26423	2836	25005	155419	5.88
1950-1959	83	0.12430	0.11702	0.5	23587	2760	22207	130414	5.53
1950-1959	84	0.13607	0.12740	0.5	20827	2653	19500	108207	5.20
1950-1959	85	0.14876	0.13846	0.5	18174	2516	16915	88706	4.88
1950-1959	86	0.16241	0.15021	0.5	15657	2352	14481	71791	4.59
1950-1959	87	0.17705	0.16266	0.5	13305	2164	12223	57310	4.31
1950-1959	88	0.19271	0.17578	0.5	11141	1958	10162	45087	4.05
1950-1959	89	0.20940	0.18956	0.5	9183	1741	8312	34925	3.80
1950-1959	90	0.22713	0.20397	0.5	7442	1518	6683	26612	3.58
1950-1959	91	0.24590	0.21898	0.5	5924	1297	5276	19929	3.36
1950-1959	92	0.26568	0.23453	0.5	4627	1085	4084	14654	3.17
1950-1959	93	0.28645	0.25057	0.5	3542	887	3098	10569	2.98
1950-1959	94	0.30817	0.26703	0.5	2654	709	2300	7471	2.81
1950-1959	95	0.33078	0.28384	0.5	1946	552	1669	5171	2.66
1950-1959	96	0.35420	0.30091	0.5	1393	419	1184	3502	2.51
1950-1959	97	0.37835	0.31816	0.5	974	310	819	2318	2.38
1950-1959	98	0.40313	0.33550	0.5	664	223	553	1499	2.26
1950-1959	99	0.42842	0.35284	0.5	441	156	363	946	2.14
1950-1959	100	0.45410	0.37007	0.5	286	106	233	583	2.04
1950-1959	101	0.48004	0.38712	0.5	180	70	145	350	1.95
1950-1959	102	0.50610	0.40389	0.5	110	45	88	205	1.86
1950-1959	103	0.53214	0.42031	0.5	66	28	52	117	1.78
1950-1959	104	0.55802	0.43629	0.5	38	17	30	65	1.71
1950-1959	105	0.58361	0.45178	0.5	21	10	17	35	1.64
1950-1959	106	0.60877	0.46671	0.5	12	5	9	19	1.58
1950-1959	107	0.63338	0.48104	0.5	6	3	5	10	1.53
1950-1959	108	0.65733	0.49473	0.5	3	2	2	5	1.48
1950-1959	109	0.68051	0.50775	0.5	2	1	1	2	1.45
1950-1959	110+	0.70285	1.00000	1.42	1	1	1	1	1.42
1960-1969	0	0.02196	0.02154	0.11	100000	2154	98082	7082992	70.83
1960-1969	1	0.00118	0.00118	0.5	97846	115	97788	6984910	71.39
1960-1969	2	0.00079	0.00079	0.5	97731	78	97692	6887122	70.47
1960-1969	3	0.00068	0.00068	0.5	97653	67	97620	6789430	69.53
1960-1969	4	0.00053	0.00053	0.5	97586	52	97561	6691810	68.57
1960-1969	5	0.00044	0.00044	0.5	97535	43	97514	6594250	67.61
1960-1969	6	0.00048	0.00048	0.5	97492	47	97469	6496736	66.64
1960-1969	7	0.00035	0.00035	0.5	97445	34	97428	6399267	65.67
1960-1969	8	0.00039	0.00039	0.5	97411	38	97392	6301839	64.69
1960-1969	9	0.00037	0.00037	0.5	97373	36	97355	6204447	63.72
1960-1969	10	0.00025	0.00025	0.5	97337	24	97325	6107092	62.74
1960-1969	11	0.00033	0.00033	0.5	97312	32	97296	6009767	61.76
1960-1969	12	0.00041	0.00041	0.5	97280	39	97260	5912471	60.78
1960-1969	13	0.00036	0.00036	0.5	97241	35	97223	5815211	59.80
1960-1969	14	0.00059	0.00059	0.5	97206	57	97177	5717988	58.82
1960-1969	15	0.00069	0.00069	0.5	97149	67	97115	5620811	57.86
1960-1969	16	0.00091	0.00091	0.5	97081	88	97037	5523696	56.90
1960-1969	17	0.00092	0.00092	0.5	96993	89	96948	5426659	55.95
1960-1969	18	0.00118	0.00118	0.5	96904	114	96847	5329711	55.00
1960-1969	19	0.00115	0.00115	0.5	96790	111	96734	5232864	54.06
1960-1969	20	0.00104	0.00104	0.5	96679	100	96629	5136130	53.13
1960-1969	21	0.00115	0.00115	0.5	96578	111	96523	5039501	52.18
1960-1969	22	0.00112	0.00112	0.5	96467	108	96413	4942978	51.24
1960-1969	23	0.00125	0.00125	0.5	96359	120	96299	4846565	50.30
1960-1969	24	0.00096	0.00096	0.5	96239	92	96193	4750266	49.36
1960-1969	25	0.00125	0.00125	0.5	96147	120	96087	4654073	48.41
1960-1969	26	0.00123	0.00123	0.5	96027	118	95968	4557986	47.47
1960-1969	27	0.00106	0.00106	0.5	95909	102	95858	4462018	46.52
1960-1969	28	0.00114	0.00114	0.5	95807	109	95753	4366159	45.57
1960-1969	29	0.00110	0.00110	0.5	95698	105	95646	4270406	44.62
1960-1969	30	0.00119	0.00119	0.5	95593	114	95536	4174761	43.67
1960-1969	31	0.00115	0.00115	0.5	95479	110	95424	4079224	42.72
1960-1969	32	0.00116	0.00115	0.5	95370	110	95314	3983800	41.77
1960-1969	33	0.00124	0.00124	0.5	95259	118	95200	3888485	40.82
1960-1969	34	0.00133	0.00133	0.5	95142	126	95078	3793285	39.87
1960-1969	35	0.00142	0.00142	0.5	95015	135	94948	3698206	38.92
1960-1969	36	0.00158	0.00158	0.5	94881	149	94806	3603258	37.98
1960-1969	37	0.00219	0.00218	0.5	94731	207	94628	3508453	37.04
1960-1969	38	0.00204	0.00204	0.5	94524	193	94428	3413825	36.12
1960-1969	39	0.00224	0.00223	0.5	94331	211	94226	3319397	35.19
1960-1969	40	0.00261	0.00261	0.5	94120	246	93997	3225172	34.27
1960-1969	41	0.00307	0.00307	0.5	93875	288	93731	3131174	33.35
1960-1969	42	0.00290	0.00290	0.5	93587	271	93451	3037444	32.46
1960-1969	43	0.00378	0.00377	0.5	93316	352	93140	2943992	31.55
1960-1969	44	0.00403	0.00402	0.5	92964	374	92777	2850853	30.67
1960-1969	45	0.00388	0.00387	0.5	92590	358	92411	2758076	29.79
1960-1969	46	0.00498	0.00497	0.5	92231	458	92002	2665665	28.90
1960-1969	47	0.00455	0.00454	0.5	91773	417	91565	2573663	28.04
1960-1969	48	0.00590	0.00588	0.5	91357	537	91088	2482098	27.17
1960-1969	49	0.00643	0.00641	0.5	90819	582	90528	2391010	26.33
1960-1969	50	0.00715	0.00713	0.5	90237	643	89916	2300481	25.49
1960-1969	51	0.00815	0.00812	0.5	89594	727	89230	2210566	24.67
1960-1969	52	0.00900	0.00896	0.5	88867	796	88468	2121335	23.87
1960-1969	53	0.00880	0.00876	0.5	88070	771	87685	2032867	23.08
1960-1969	54	0.01043	0.01037	0.5	87299	906	86846	1945182	22.28
1960-1969	55	0.01033	0.01028	0.5	86393	888	85949	1858336	21.51
1960-1969	56	0.01193	0.01186	0.5	85505	1014	84998	1772387	20.73
1960-1969	57	0.01380	0.01371	0.5	84491	1158	83912	1687389	19.97
1960-1969	58	0.01364	0.01355	0.5	83333	1129	82769	1603476	19.24
1960-1969	59	0.01725	0.01711	0.5	82204	1406	81501	1520707	18.50
1960-1969	60	0.01650	0.01636	0.5	80798	1322	80137	1439206	17.81
1960-1969	61	0.01913	0.01895	0.5	79476	1506	78723	1359069	17.10
1960-1969	62	0.01997	0.01977	0.5	77970	1542	77199	1280346	16.42
1960-1969	63	0.02291	0.02265	0.5	76428	1731	75563	1203147	15.74
1960-1969	64	0.02438	0.02408	0.5	74697	1799	73798	1127584	15.10
1960-1969	65	0.02546	0.02514	0.5	72898	1833	71981	1053787	14.46
1960-1969	66	0.02886	0.02845	0.5	71065	2022	70054	981805	13.82
1960-1969	67	0.03141	0.03093	0.5	69043	2135	67976	911751	13.21
1960-1969	68	0.03504	0.03444	0.5	66908	2304	65756	843775	12.61
1960-1969	69	0.03814	0.03743	0.5	64604	2418	63395	778019	12.04
1960-1969	70	0.04092	0.04010	0.5	62186	2494	60939	714624	11.49
1960-1969	71	0.04299	0.04208	0.5	59692	2512	58436	653685	10.95
1960-1969	72	0.05078	0.04952	0.5	57180	2832	55764	595249	10.41
1960-1969	73	0.05396	0.05254	0.5	54349	2856	52921	539484	9.93
1960-1969	74	0.05814	0.05650	0.5	51493	2909	50038	486564	9.45
1960-1969	75	0.06141	0.05958	0.5	48584	2895	47136	436525	8.99
1960-1969	76	0.06695	0.06478	0.5	45689	2960	44209	389389	8.52
1960-1969	77	0.07048	0.06808	0.5	42729	2909	41274	345180	8.08
1960-1969	78	0.08136	0.07818	0.5	39820	3113	38263	303906	7.63
1960-1969	79	0.08332	0.07999	0.5	36707	2936	35239	265643	7.24
1960-1969	80	0.08973	0.08587	0.5	33771	2900	32321	230404	6.82
1960-1969	81	0.09866	0.09402	0.5	30871	2903	29419	198083	6.42
1960-1969	82	0.10841	0.10283	0.5	27968	2876	26530	168664	6.03
1960-1969	83	0.11901	0.11232	0.5	25092	2818	23683	142133	5.66
1960-1969	84	0.13052	0.12252	0.5	22274	2729	20909	118451	5.32
1960-1969	85	0.14299	0.13345	0.5	19545	2608	18241	97541	4.99
1960-1969	86	0.15648	0.14512	0.5	16936	2458	15707	79301	4.68
1960-1969	87	0.17102	0.15755	0.5	14479	2281	13338	63593	4.39
1960-1969	88	0.18665	0.17072	0.5	12197	2082	11156	50255	4.12
1960-1969	89	0.20340	0.18462	0.5	10115	1867	9181	39099	3.87
1960-1969	90	0.22129	0.19924	0.5	8248	1643	7426	29918	3.63
1960-1969	91	0.24033	0.21455	0.5	6604	1417	5896	22492	3.41
1960-1969	92	0.26051	0.23049	0.5	5187	1196	4590	16596	3.20
1960-1969	93	0.28181	0.24701	0.5	3992	986	3499	12006	3.01
1960-1969	94	0.30420	0.26404	0.5	3006	794	2609	8507	2.83
1960-1969	95	0.32761	0.28150	0.5	2212	623	1901	5898	2.67
1960-1969	96	0.35198	0.29930	0.5	1589	476	1352	3998	2.52
1960-1969	97	0.37720	0.31735	0.5	1114	353	937	2646	2.38
1960-1969	98	0.40317	0.33553	0.5	760	255	633	1709	2.25
1960-1969	99	0.42976	0.35374	0.5	505	179	416	1076	2.13
1960-1969	100	0.45681	0.37188	0.5	326	121	266	661	2.02
1960-1969	101	0.48419	0.38982	0.5	205	80	165	395	1.93
1960-1969	102	0.51172	0.40746	0.5	125	51	100	230	1.84
1960-1969	103	0.53923	0.42472	0.5	74	31	58	130	1.75
1960-1969	104	0.56656	0.44149	0.5	43	19	33	72	1.68
1960-1969	105	0.59353	0.45770	0.5	24	11	18	38	1.61
1960-1969	106	0.62001	0.47329	0.5	13	6	10	20	1.55
1960-1969	107	0.64582	0.48818	0.5	7	3	5	10	1.50
1960-1969	108	0.67086	0.50235	0.5	3	2	3	5	1.45
1960-1969	109	0.69500	0.51577	0.5	2	1	1	2	1.42
1960-1969	110+	0.71814	1.00000	1.39	1	1	1	1	1.39
1970-1979	0	0.01386	0.01369	0.09	100000	1369	98750	7324341	73.24
1970-1979	1	0.00081	0.00081	0.5	98631	80	98591	7225591	73.26
1970-1979	2	0.00063	0.00063	0.5	98552	62	98520	7127000	72.32
1970-1979	3	0.00053	0.00053	0.5	98489	53	98463	7028479	71.36
1970-1979	4	0.00043	0.00043	0.5	98437	42	98416	6930016	70.40
1970-1979	5	0.00037	0.00037	0.5	98394	37	98376	6831601	69.43
1970-1979	6	0.00028	0.00028	0.5	98358	28	98344	6733225	68.46
1970-1979	7	0.00039	0.00039	0.5	98330	38	98311	6634881	67.48
1970-1979	8	0.00030	0.00030	0.5	98292	30	98277	6536570	66.50
1970-1979	9	0.00028	0.00028	0.5	98263	27	98249	6438292	65.52
1970-1979	10	0.00024	0.00024	0.5	98235	24	98224	6340043	64.54
1970-1979	11	0.00025	0.00025	0.5	98212	25	98199	6241820	63.55
1970-1979	12	0.00025	0.00025	0.5	98187	25	98175	6143620	62.57
1970-1979	13	0.00036	0.00036	0.5	98162	35	98145	6045446	61.59
1970-1979	14	0.00043	0.00043	0.5	98127	42	98106	5947301	60.61
1970-1979	15	0.00062	0.00062	0.5	98085	61	98054	5849195	59.63
1970-1979	16	0.00075	0.00074	0.5	98024	73	97987	5751141	58.67
1970-1979	17	0.00095	0.00095	0.5	97951	93	97904	5653153	57.71
1970-1979	18	0.00118	0.00118	0.5	97857	115	97800	5555249	56.77
1970-1979	19	0.00120	0.00120	0.5	97742	117	97683	5457450	55.84
1970-1979	20	0.00110	0.00110	0.5	97625	107	97571	5359766	54.90
1970-1979	21	0.00104	0.00104	0.5	97517	102	97466	5262195	53.96
1970-1979	22	0.00109	0.00109	0.5	97415	106	97363	5164729	53.02
1970-1979	23	0.00104	0.00104	0.5	97310	101	97259	5067367	52.07
1970-1979	24	0.00094	0.00093	0.5	97209	91	97163	4970107	51.13
1970-1979	25	0.00101	0.00101	0.5	97118	98	97069	4872944	50.18
1970-1979	26	0.00084	0.00084	0.5	97020	82	96979	4775875	49.23
1970-1979	27	0.00112	0.00112	0.5	96938	108	96884	4678896	48.27
1970-1979	28	0.00095	0.00095	0.5	96830	92	96784	4582012	47.32
1970-1979	29	0.00088	0.00088	0.5	96738	85	96695	4485228	46.36
1970-1979	30	0.00090	0.00090	0.5	96652	87	96609	4388533	45.41
1970-1979	31	0.00091	0.00091	0.5	96565	88	96521	4291925	44.45
1970-1979	32	0.00103	0.00103	0.5	96477	99	96428	4195403	43.49
1970-1979	33	0.00124	0.00124	0.5	96378	119	96319	4098975	42.53
1970-1979	34	0.00115	0.00115	0.5	96259	111	96204	4002657	41.58
1970-1979	35	0.00137	0.00137	0.5	96148	132	96082	3906453	40.63
1970-1979	36	0.00131	0.00131	0.5	96017	125	95954	3810371	39.68
