NY: NY, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04003	0.03872	0.15	100000	3872	96718	6289601	62.90
1941	1	0.00311	0.00311	0.5	96128	299	95979	6192883	64.42
1941	2	0.00204	0.00204	0.5	95829	195	95732	6096904	63.62
1941	3	0.00167	0.00167	0.5	95634	159	95554	6001173	62.75
1941	4	0.00144	0.00144	0.5	95475	137	95406	5905618	61.86
1941	5	0.00128	0.00128	0.5	95337	122	95276	5810212	60.94
1941	6	0.00115	0.00115	0.5	95215	110	95160	5714936	60.02
1941	7	0.00105	0.00105	0.5	95105	100	95055	5619776	59.09
1941	8	0.00096	0.00096	0.5	95005	91	94960	5524720	58.15
1941	9	0.00089	0.00089	0.5	94914	85	94871	5429761	57.21
1941	10	0.00086	0.00086	0.5	94829	81	94788	5334889	56.26
1941	11	0.00086	0.00086	0.5	94748	81	94707	5240101	55.31
1941	12	0.00089	0.00089	0.5	94666	84	94624	5145394	54.35
1941	13	0.00094	0.00094	0.5	94582	89	94538	5050769	53.40
1941	14	0.00103	0.00103	0.5	94493	98	94444	4956232	52.45
1941	15	0.00117	0.00117	0.5	94395	111	94340	4861788	51.50
1941	16	0.00129	0.00129	0.5	94285	122	94224	4767448	50.56
1941	17	0.00140	0.00140	0.5	94163	132	94097	4673224	49.63
1941	18	0.00152	0.00151	0.5	94031	142	93960	4579127	48.70
1941	19	0.00161	0.00161	0.5	93889	151	93813	4485167	47.77
1941	20	0.00172	0.00172	0.5	93738	161	93657	4391354	46.85
1941	21	0.00184	0.00184	0.5	93577	172	93491	4297696	45.93
1941	22	0.00192	0.00192	0.5	93405	179	93315	4204205	45.01
1941	23	0.00199	0.00199	0.5	93225	186	93133	4110890	44.10
1941	24	0.00204	0.00204	0.5	93040	189	92945	4017758	43.18
1941	25	0.00206	0.00205	0.5	92850	191	92755	3924813	42.27
1941	26	0.00207	0.00206	0.5	92660	191	92564	3832058	41.36
1941	27	0.00216	0.00215	0.5	92469	199	92369	3739493	40.44
1941	28	0.00232	0.00231	0.5	92269	214	92163	3647125	39.53
1941	29	0.00246	0.00246	0.5	92056	226	91943	3554962	38.62
1941	30	0.00262	0.00262	0.5	91830	241	91709	3463019	37.71
1941	31	0.00275	0.00275	0.5	91589	252	91463	3371310	36.81
1941	32	0.00301	0.00301	0.5	91337	275	91200	3279847	35.91
1941	33	0.00323	0.00323	0.5	91062	294	90915	3188647	35.02
1941	34	0.00340	0.00340	0.5	90768	308	90614	3097731	34.13
1941	35	0.00365	0.00364	0.5	90460	330	90295	3007117	33.24
1941	36	0.00369	0.00369	0.5	90130	332	89964	2916822	32.36
1941	37	0.00407	0.00406	0.5	89798	365	89616	2826857	31.48
1941	38	0.00472	0.00471	0.5	89433	421	89223	2737242	30.61
1941	39	0.00509	0.00508	0.5	89012	452	88786	2648019	29.75
1941	40	0.00530	0.00529	0.5	88560	468	88325	2559233	28.90
1941	41	0.00555	0.00553	0.5	88091	487	87848	2470908	28.05
1941	42	0.00662	0.00660	0.5	87604	578	87315	2383060	27.20
1941	43	0.00734	0.00732	0.5	87026	637	86708	2295745	26.38
1941	44	0.00768	0.00765	0.5	86389	661	86059	2209038	25.57
1941	45	0.00868	0.00864	0.5	85729	741	85358	2122979	24.76
1941	46	0.00898	0.00894	0.5	84988	760	84608	2037621	23.98
1941	47	0.00995	0.00991	0.5	84228	834	83811	1953013	23.19
1941	48	0.01142	0.01135	0.5	83394	947	82920	1869202	22.41
1941	49	0.01238	0.01230	0.5	82447	1014	81940	1786282	21.67
1941	50	0.01352	0.01342	0.5	81433	1093	80886	1704342	20.93
1941	51	0.01414	0.01404	0.5	80340	1128	79776	1623456	20.21
1941	52	0.01610	0.01597	0.5	79212	1265	78579	1543680	19.49
1941	53	0.01763	0.01748	0.5	77946	1362	77265	1465101	18.80
1941	54	0.01854	0.01837	0.5	76584	1407	75881	1387836	18.12
1941	55	0.02055	0.02034	0.5	75177	1529	74412	1311955	17.45
1941	56	0.02122	0.02100	0.5	73648	1546	72875	1237543	16.80
1941	57	0.02325	0.02298	0.5	72101	1657	71273	1164668	16.15
1941	58	0.02625	0.02591	0.5	70444	1825	69532	1093395	15.52
1941	59	0.02764	0.02726	0.5	68619	1871	67683	1023864	14.92
1941	60	0.02915	0.02873	0.5	66748	1918	65789	956180	14.33
1941	61	0.03052	0.03006	0.5	64830	1949	63856	890391	13.73
1941	62	0.03579	0.03516	0.5	62881	2211	61776	826535	13.14
1941	63	0.04000	0.03922	0.5	60670	2379	59481	764759	12.61
1941	64	0.03959	0.03883	0.5	58291	2263	57160	705279	12.10
1941	65	0.04190	0.04104	0.5	56028	2300	54878	648119	11.57
1941	66	0.04266	0.04177	0.5	53728	2244	52606	593241	11.04
1941	67	0.04952	0.04832	0.5	51484	2488	50240	540635	10.50
1941	68	0.05856	0.05689	0.5	48996	2787	47603	490395	10.01
1941	69	0.06112	0.05930	0.5	46209	2740	44839	442792	9.58
1941	70	0.06473	0.06270	0.5	43469	2726	42106	397953	9.15
1941	71	0.06532	0.06326	0.5	40743	2577	39454	355847	8.73
1941	72	0.07451	0.07183	0.5	38166	2742	36795	316393	8.29
1941	73	0.08366	0.08030	0.5	35424	2845	34002	279598	7.89
1941	74	0.08480	0.08135	0.5	32580	2650	31254	245596	7.54
1941	75	0.09014	0.08625	0.5	29929	2581	28638	214342	7.16
1941	76	0.09015	0.08626	0.5	27348	2359	26168	185704	6.79
1941	77	0.09949	0.09478	0.5	24989	2368	23804	159535	6.38
1941	78	0.12292	0.11580	0.5	22620	2620	21310	135731	6.00
1941	79	0.13052	0.12253	0.5	20001	2451	18775	114421	5.72
1941	80	0.13015	0.12219	0.5	17550	2145	16478	95645	5.45
1941	81	0.14205	0.13263	0.5	15406	2043	14384	79167	5.14
1941	82	0.15508	0.14392	0.5	13362	1923	12401	64783	4.85
1941	83	0.16907	0.15589	0.5	11439	1783	10548	52383	4.58
1941	84	0.18291	0.16759	0.5	9656	1618	8847	41835	4.33
1941	85	0.19563	0.17820	0.5	8038	1432	7322	32988	4.10
1941	86	0.20937	0.18953	0.5	6605	1252	5979	25667	3.89
1941	87	0.22489	0.20216	0.5	5353	1082	4812	19687	3.68
1941	88	0.24204	0.21591	0.5	4271	922	3810	14875	3.48
1941	89	0.25989	0.23000	0.5	3349	770	2964	11065	3.30
1941	90	0.27741	0.24362	0.5	2579	628	2265	8101	3.14
1941	91	0.29162	0.25451	0.5	1951	496	1702	5836	2.99
1941	92	0.30234	0.26264	0.5	1454	382	1263	4134	2.84
1941	93	0.33286	0.28537	0.5	1072	306	919	2871	2.68
1941	94	0.35343	0.30035	0.5	766	230	651	1951	2.55
1941	95	0.37454	0.31547	0.5	536	169	452	1300	2.43
1941	96	0.39615	0.33066	0.5	367	121	306	849	2.31
1941	97	0.41817	0.34586	0.5	246	85	203	542	2.21
1941	98	0.44052	0.36101	0.5	161	58	132	339	2.11
1941	99	0.46312	0.37604	0.5	103	39	83	208	2.02
1941	100	0.48587	0.39090	0.5	64	25	52	124	1.94
1941	101	0.50867	0.40553	0.5	39	16	31	73	1.86
1941	102	0.53144	0.41987	0.5	23	10	18	42	1.79
1941	103	0.55408	0.43388	0.5	13	6	11	23	1.73
1941	104	0.57650	0.44751	0.5	8	3	6	13	1.67
1941	105	0.59861	0.46072	0.5	4	2	3	7	1.61
1941	106	0.62032	0.47347	0.5	2	1	2	4	1.56
1941	107	0.64157	0.48575	0.5	1	1	1	2	1.52
1941	108	0.66227	0.49752	0.5	1	0	0	1	1.48
1941	109	0.68236	0.50878	0.5	0	0	0	0	1.45
1941	110+	0.70180	1.00000	1.42	0	0	0	0	1.42
1942	0	0.03942	0.03815	0.15	100000	3815	96761	6323664	63.24
1942	1	0.00312	0.00311	0.5	96185	299	96036	6226903	64.74
1942	2	0.00168	0.00167	0.5	95886	161	95806	6130867	63.94
1942	3	0.00163	0.00163	0.5	95726	156	95648	6035062	63.05
1942	4	0.00130	0.00130	0.5	95570	124	95508	5939414	62.15
1942	5	0.00117	0.00117	0.5	95446	112	95390	5843906	61.23
1942	6	0.00115	0.00115	0.5	95334	110	95279	5748516	60.30
1942	7	0.00110	0.00110	0.5	95224	105	95172	5653237	59.37
1942	8	0.00103	0.00103	0.5	95120	98	95071	5558065	58.43
1942	9	0.00092	0.00092	0.5	95022	88	94978	5462994	57.49
1942	10	0.00081	0.00081	0.5	94934	77	94896	5368017	56.54
1942	11	0.00075	0.00075	0.5	94857	72	94821	5273121	55.59
1942	12	0.00076	0.00076	0.5	94786	72	94750	5178300	54.63
1942	13	0.00082	0.00082	0.5	94714	77	94675	5083550	53.67
1942	14	0.00092	0.00092	0.5	94637	87	94593	4988875	52.72
1942	15	0.00107	0.00107	0.5	94550	101	94499	4894281	51.76
1942	16	0.00125	0.00125	0.5	94448	118	94389	4799782	50.82
1942	17	0.00139	0.00138	0.5	94331	131	94265	4705393	49.88
1942	18	0.00150	0.00150	0.5	94200	142	94129	4611128	48.95
1942	19	0.00163	0.00162	0.5	94058	153	93982	4516999	48.02
1942	20	0.00171	0.00171	0.5	93905	160	93825	4423017	47.10
1942	21	0.00178	0.00178	0.5	93745	167	93662	4329191	46.18
1942	22	0.00185	0.00185	0.5	93579	173	93492	4235529	45.26
1942	23	0.00187	0.00187	0.5	93406	175	93318	4142037	44.34
1942	24	0.00187	0.00187	0.5	93231	174	93143	4048719	43.43
1942	25	0.00184	0.00183	0.5	93056	171	92971	3955576	42.51
1942	26	0.00184	0.00184	0.5	92886	170	92800	3862605	41.58
1942	27	0.00186	0.00186	0.5	92715	172	92629	3769804	40.66
1942	28	0.00199	0.00199	0.5	92543	184	92451	3677175	39.73
1942	29	0.00221	0.00221	0.5	92359	204	92257	3584724	38.81
1942	30	0.00241	0.00241	0.5	92156	222	92045	3492467	37.90
1942	31	0.00260	0.00260	0.5	91934	239	91814	3400422	36.99
1942	32	0.00275	0.00275	0.5	91695	252	91569	3308608	36.08
1942	33	0.00305	0.00304	0.5	91443	278	91303	3217040	35.18
1942	34	0.00331	0.00330	0.5	91164	301	91014	3125736	34.29
1942	35	0.00353	0.00352	0.5	90863	320	90703	3034723	33.40
1942	36	0.00386	0.00386	0.5	90543	349	90368	2944020	32.52
1942	37	0.00394	0.00393	0.5	90194	354	90017	2853651	31.64
1942	38	0.00430	0.00429	0.5	89840	386	89647	2763635	30.76
1942	39	0.00491	0.00490	0.5	89454	438	89235	2673988	29.89
1942	40	0.00518	0.00517	0.5	89016	460	88786	2584753	29.04
1942	41	0.00531	0.00530	0.5	88556	469	88322	2495967	28.19
1942	42	0.00556	0.00554	0.5	88087	488	87843	2407645	27.33
1942	43	0.00675	0.00673	0.5	87599	589	87304	2319802	26.48
1942	44	0.00773	0.00770	0.5	87009	670	86674	2232498	25.66
1942	45	0.00835	0.00832	0.5	86339	718	85980	2145824	24.85
1942	46	0.00964	0.00959	0.5	85621	821	85211	2059843	24.06
1942	47	0.01008	0.01003	0.5	84800	851	84375	1974633	23.29
1942	48	0.01112	0.01106	0.5	83949	929	83485	1890258	22.52
1942	49	0.01251	0.01244	0.5	83021	1032	82505	1806773	21.76
1942	50	0.01323	0.01314	0.5	81988	1078	81450	1724268	21.03
1942	51	0.01407	0.01397	0.5	80911	1130	80346	1642818	20.30
1942	52	0.01452	0.01441	0.5	79780	1150	79205	1562473	19.58
1942	53	0.01652	0.01638	0.5	78631	1288	77987	1483267	18.86
1942	54	0.01831	0.01815	0.5	77342	1403	76641	1405281	18.17
1942	55	0.01961	0.01942	0.5	75939	1474	75202	1328640	17.50
1942	56	0.02207	0.02183	0.5	74465	1625	73652	1253438	16.83
1942	57	0.02296	0.02270	0.5	72839	1654	72013	1179786	16.20
1942	58	0.02529	0.02498	0.5	71186	1778	70297	1107774	15.56
1942	59	0.02858	0.02817	0.5	69408	1956	68430	1037477	14.95
1942	60	0.02980	0.02937	0.5	67452	1981	66462	969047	14.37
1942	61	0.03124	0.03076	0.5	65471	2014	64464	902585	13.79
1942	62	0.03257	0.03205	0.5	63457	2034	62440	838120	13.21
1942	63	0.03820	0.03749	0.5	61424	2303	60272	775680	12.63
1942	64	0.04306	0.04215	0.5	59121	2492	57875	715408	12.10
1942	65	0.04325	0.04233	0.5	56629	2397	55430	657533	11.61
1942	66	0.04626	0.04521	0.5	54232	2452	53006	602103	11.10
1942	67	0.04726	0.04617	0.5	51780	2390	50584	549097	10.60
1942	68	0.05458	0.05313	0.5	49389	2624	48077	498513	10.09
1942	69	0.06420	0.06220	0.5	46765	2909	45310	450436	9.63
1942	70	0.06652	0.06438	0.5	43856	2823	42444	405125	9.24
1942	71	0.06961	0.06726	0.5	41033	2760	39653	362681	8.84
1942	72	0.06961	0.06727	0.5	38273	2574	36985	323028	8.44
1942	73	0.07888	0.07589	0.5	35698	2709	34344	286043	8.01
1942	74	0.08830	0.08457	0.5	32989	2790	31594	251699	7.63
1942	75	0.08935	0.08553	0.5	30199	2583	28908	220105	7.29
1942	76	0.09480	0.09051	0.5	27616	2499	26367	191197	6.92
1942	77	0.09380	0.08960	0.5	25117	2251	23992	164831	6.56
1942	78	0.10540	0.10013	0.5	22866	2290	21722	140839	6.16
1942	79	0.13581	0.12717	0.5	20577	2617	19268	119117	5.79
1942	80	0.12869	0.12091	0.5	17960	2172	16874	99849	5.56
1942	81	0.13953	0.13043	0.5	15788	2059	14759	82975	5.26
1942	82	0.15096	0.14037	0.5	13729	1927	12766	68216	4.97
1942	83	0.16309	0.15080	0.5	11802	1780	10912	55450	4.70
1942	84	0.17524	0.16112	0.5	10022	1615	9215	44538	4.44
1942	85	0.18643	0.17053	0.5	8408	1434	7691	35323	4.20
1942	86	0.19885	0.18087	0.5	6974	1261	6343	27632	3.96
1942	87	0.21393	0.19326	0.5	5712	1104	5160	21289	3.73
1942	88	0.23187	0.20778	0.5	4608	958	4130	16129	3.50
1942	89	0.25343	0.22492	0.5	3651	821	3240	11999	3.29
1942	90	0.27857	0.24452	0.5	2830	692	2484	8759	3.10
1942	91	0.30190	0.26230	0.5	2138	561	1857	6275	2.94
1942	92	0.32140	0.27690	0.5	1577	437	1359	4417	2.80
1942	93	0.33115	0.28411	0.5	1140	324	978	3059	2.68
1942	94	0.35223	0.29948	0.5	816	244	694	2080	2.55
1942	95	0.37389	0.31500	0.5	572	180	482	1386	2.42
1942	96	0.39607	0.33060	0.5	392	130	327	904	2.31
1942	97	0.41869	0.34621	0.5	262	91	217	577	2.20
1942	98	0.44166	0.36177	0.5	171	62	140	361	2.10
1942	99	0.46487	0.37720	0.5	109	41	89	220	2.01
1942	100	0.48824	0.39244	0.5	68	27	55	131	1.93
1942	101	0.51167	0.40743	0.5	41	17	33	77	1.85
1942	102	0.53504	0.42211	0.5	25	10	19	44	1.78
1942	103	0.55826	0.43644	0.5	14	6	11	24	1.71
1942	104	0.58122	0.45035	0.5	8	4	6	13	1.65
1942	105	0.60384	0.46381	0.5	4	2	3	7	1.60
1942	106	0.62603	0.47679	0.5	2	1	2	4	1.55
1942	107	0.64769	0.48925	0.5	1	1	1	2	1.50
1942	108	0.66877	0.50118	0.5	1	0	0	1	1.46
1942	109	0.68919	0.51256	0.5	0	0	0	0	1.43
1942	110+	0.70890	1.00000	1.41	0	0	0	0	1.41
1943	0	0.03770	0.03652	0.15	100000	3652	96882	6283088	62.83
1943	1	0.00312	0.00312	0.5	96348	300	96198	6186206	64.21
1943	2	0.00210	0.00209	0.5	96048	201	95947	6090008	63.41
1943	3	0.00180	0.00180	0.5	95846	172	95760	5994061	62.54
1943	4	0.00137	0.00137	0.5	95674	131	95609	5898301	61.65
1943	5	0.00116	0.00116	0.5	95543	111	95487	5802693	60.73
1943	6	0.00110	0.00110	0.5	95432	105	95379	5707205	59.80
1943	7	0.00106	0.00106	0.5	95327	101	95276	5611826	58.87
1943	8	0.00101	0.00101	0.5	95225	96	95178	5516550	57.93
1943	9	0.00094	0.00094	0.5	95130	90	95085	5421373	56.99
1943	10	0.00087	0.00087	0.5	95040	83	94999	5326288	56.04
1943	11	0.00084	0.00084	0.5	94957	79	94918	5231289	55.09
1943	12	0.00086	0.00086	0.5	94878	82	94837	5136371	54.14
1943	13	0.00093	0.00093	0.5	94796	88	94752	5041534	53.18
1943	14	0.00104	0.00104	0.5	94708	99	94659	4946782	52.23
1943	15	0.00117	0.00117	0.5	94610	111	94554	4852123	51.29
1943	16	0.00131	0.00131	0.5	94499	124	94437	4757569	50.35
1943	17	0.00146	0.00146	0.5	94375	138	94306	4663132	49.41
1943	18	0.00156	0.00156	0.5	94237	147	94164	4568826	48.48
1943	19	0.00165	0.00165	0.5	94090	155	94012	4474662	47.56
1943	20	0.00174	0.00174	0.5	93935	163	93853	4380650	46.64
1943	21	0.00177	0.00177	0.5	93772	166	93689	4286797	45.72
1943	22	0.00181	0.00180	0.5	93606	169	93521	4193108	44.80
1943	23	0.00185	0.00185	0.5	93437	172	93351	4099587	43.88
1943	24	0.00186	0.00186	0.5	93264	173	93178	4006236	42.96
1943	25	0.00187	0.00187	0.5	93091	174	93004	3913058	42.03
1943	26	0.00188	0.00188	0.5	92917	175	92830	3820054	41.11
1943	27	0.00193	0.00192	0.5	92742	178	92653	3727225	40.19
1943	28	0.00195	0.00195	0.5	92564	181	92474	3634572	39.27
1943	29	0.00207	0.00207	0.5	92383	191	92288	3542098	38.34
1943	30	0.00225	0.00225	0.5	92192	208	92088	3449810	37.42
1943	31	0.00239	0.00239	0.5	91985	220	91875	3357722	36.50
1943	32	0.00254	0.00253	0.5	91765	233	91649	3265847	35.59
1943	33	0.00268	0.00268	0.5	91532	245	91410	3174199	34.68
1943	34	0.00301	0.00301	0.5	91288	274	91150	3082789	33.77
1943	35	0.00335	0.00334	0.5	91013	304	90861	2991638	32.87
1943	36	0.00368	0.00367	0.5	90709	333	90543	2900777	31.98
1943	37	0.00417	0.00416	0.5	90376	376	90188	2810235	31.09
1943	38	0.00437	0.00436	0.5	90000	393	89804	2720047	30.22
1943	39	0.00490	0.00489	0.5	89607	438	89388	2630243	29.35
1943	40	0.00572	0.00571	0.5	89169	509	88915	2540855	28.49
1943	41	0.00614	0.00612	0.5	88661	543	88389	2451940	27.66
1943	42	0.00630	0.00628	0.5	88118	554	87841	2363550	26.82
1943	43	0.00650	0.00648	0.5	87564	568	87280	2275709	25.99
1943	44	0.00773	0.00770	0.5	86996	670	86662	2188429	25.16
1943	45	0.00863	0.00859	0.5	86327	742	85956	2101767	24.35
1943	46	0.00908	0.00904	0.5	85585	773	85198	2015811	23.55
1943	47	0.01032	0.01026	0.5	84811	871	84376	1930613	22.76
1943	48	0.01086	0.01080	0.5	83941	907	83488	1846237	21.99
1943	49	0.01217	0.01209	0.5	83034	1004	82532	1762750	21.23
1943	50	0.01397	0.01387	0.5	82030	1138	81461	1680217	20.48
1943	51	0.01508	0.01496	0.5	80892	1210	80287	1598756	19.76
1943	52	0.01622	0.01609	0.5	79682	1282	79041	1518469	19.06
1943	53	0.01681	0.01667	0.5	78400	1307	77746	1439428	18.36
1943	54	0.01911	0.01893	0.5	77093	1459	76363	1361682	17.66
1943	55	0.02109	0.02087	0.5	75633	1578	74844	1285319	16.99
1943	56	0.02232	0.02207	0.5	74055	1635	73237	1210476	16.35
1943	57	0.02481	0.02450	0.5	72420	1774	71533	1137238	15.70
1943	58	0.02557	0.02525	0.5	70645	1783	69754	1065706	15.09
1943	59	0.02817	0.02778	0.5	68862	1913	67906	995952	14.46
1943	60	0.03205	0.03154	0.5	66949	2112	65893	928046	13.86
1943	61	0.03366	0.03310	0.5	64838	2146	63764	862153	13.30
1943	62	0.03553	0.03491	0.5	62691	2189	61597	798388	12.74
1943	63	0.03703	0.03636	0.5	60503	2200	59403	736791	12.18
1943	64	0.04323	0.04231	0.5	58303	2467	57069	677389	11.62
1943	65	0.04845	0.04730	0.5	55836	2641	54515	620319	11.11
1943	66	0.04838	0.04723	0.5	53195	2513	51939	565804	10.64
1943	67	0.05169	0.05039	0.5	50682	2554	49405	513865	10.14
1943	68	0.05292	0.05156	0.5	48128	2481	46888	464460	9.65
1943	69	0.06134	0.05951	0.5	45647	2717	44289	417572	9.15
1943	70	0.07306	0.07049	0.5	42930	3026	41417	373284	8.70
1943	71	0.07679	0.07395	0.5	39904	2951	38429	331866	8.32
1943	72	0.08089	0.07774	0.5	36953	2873	35517	293438	7.94
1943	73	0.08119	0.07802	0.5	34080	2659	32751	257921	7.57
1943	74	0.09195	0.08791	0.5	31421	2762	30040	225170	7.17
1943	75	0.10268	0.09767	0.5	28659	2799	27260	195130	6.81
1943	76	0.10385	0.09873	0.5	25860	2553	24584	167870	6.49
1943	77	0.10958	0.10389	0.5	23307	2421	22096	143286	6.15
1943	78	0.10696	0.10153	0.5	20886	2121	19825	121190	5.80
1943	79	0.12323	0.11608	0.5	18765	2178	17676	101365	5.40
1943	80	0.14244	0.13297	0.5	16587	2206	15484	83688	5.05
1943	81	0.15621	0.14489	0.5	14381	2084	13339	68204	4.74
1943	82	0.17041	0.15703	0.5	12298	1931	11332	54865	4.46
1943	83	0.18508	0.16940	0.5	10367	1756	9488	43533	4.20
1943	84	0.19996	0.18179	0.5	8610	1565	7828	34044	3.95
1943	85	0.21456	0.19377	0.5	7045	1365	6363	26217	3.72
1943	86	0.23063	0.20678	0.5	5680	1175	5093	19854	3.50
1943	87	0.24980	0.22206	0.5	4505	1000	4005	14761	3.28
1943	88	0.27257	0.23988	0.5	3505	841	3085	10756	3.07
1943	89	0.29829	0.25957	0.5	2664	692	2318	7671	2.88
1943	90	0.32648	0.28066	0.5	1973	554	1696	5353	2.71
1943	91	0.35274	0.29986	0.5	1419	425	1206	3657	2.58
1943	92	0.37163	0.31340	0.5	994	311	838	2451	2.47
1943	93	0.38221	0.32089	0.5	682	219	573	1613	2.36
1943	94	0.40665	0.33794	0.5	463	157	385	1040	2.25
1943	95	0.43120	0.35472	0.5	307	109	252	655	2.14
1943	96	0.45608	0.37139	0.5	198	74	161	403	2.04
1943	97	0.48119	0.38787	0.5	124	48	100	242	1.95
1943	98	0.50640	0.40408	0.5	76	31	61	142	1.86
1943	99	0.53157	0.41995	0.5	45	19	36	81	1.78
1943	100	0.55658	0.43541	0.5	26	11	21	45	1.71
1943	101	0.58131	0.45040	0.5	15	7	12	24	1.65
1943	102	0.60564	0.46487	0.5	8	4	6	13	1.59
1943	103	0.62945	0.47877	0.5	4	2	3	7	1.54
1943	104	0.65265	0.49207	0.5	2	1	2	3	1.49
1943	105	0.67515	0.50476	0.5	1	1	1	2	1.44
1943	106	0.69687	0.51680	0.5	1	0	0	1	1.40
1943	107	0.71774	0.52819	0.5	0	0	0	0	1.37
1943	108	0.73771	0.53893	0.5	0	0	0	0	1.33
1943	109	0.75676	0.54902	0.5	0	0	0	0	1.31
1943	110+	0.77484	1.00000	1.29	0	0	0	0	1.29
1944	0	0.03651	0.03540	0.14	100000	3540	96966	6385960	63.86
1944	1	0.00264	0.00264	0.5	96460	255	96333	6288994	65.20
1944	2	0.00176	0.00176	0.5	96206	170	96121	6192661	64.37
1944	3	0.00138	0.00138	0.5	96036	132	95970	6096540	63.48
1944	4	0.00118	0.00118	0.5	95904	113	95847	6000570	62.57
1944	5	0.00114	0.00114	0.5	95791	109	95736	5904723	61.64
1944	6	0.00109	0.00109	0.5	95681	104	95629	5808987	60.71
1944	7	0.00106	0.00106	0.5	95577	102	95526	5713358	59.78
1944	8	0.00105	0.00105	0.5	95475	100	95425	5617833	58.84
1944	9	0.00101	0.00101	0.5	95375	96	95327	5522408	57.90
1944	10	0.00096	0.00096	0.5	95279	91	95233	5427081	56.96
1944	11	0.00093	0.00093	0.5	95188	88	95143	5331848	56.01
1944	12	0.00094	0.00094	0.5	95099	89	95055	5236704	55.07
1944	13	0.00100	0.00100	0.5	95010	95	94963	5141650	54.12
1944	14	0.00108	0.00108	0.5	94915	103	94864	5046687	53.17
1944	15	0.00119	0.00118	0.5	94812	112	94756	4951823	52.23
1944	16	0.00126	0.00126	0.5	94700	120	94640	4857067	51.29
1944	17	0.00135	0.00134	0.5	94581	127	94517	4762427	50.35
1944	18	0.00143	0.00143	0.5	94453	135	94386	4667910	49.42
1944	19	0.00146	0.00146	0.5	94319	138	94250	4573524	48.49
1944	20	0.00149	0.00148	0.5	94181	140	94111	4479274	47.56
1944	21	0.00152	0.00152	0.5	94041	142	93970	4385163	46.63
1944	22	0.00151	0.00151	0.5	93899	142	93828	4291193	45.70
1944	23	0.00151	0.00151	0.5	93757	142	93686	4197365	44.77
1944	24	0.00154	0.00154	0.5	93615	144	93543	4103679	43.84
1944	25	0.00157	0.00157	0.5	93471	146	93398	4010136	42.90
1944	26	0.00162	0.00162	0.5	93325	151	93249	3916738	41.97
1944	27	0.00169	0.00169	0.5	93173	158	93095	3823489	41.04
1944	28	0.00178	0.00178	0.5	93016	166	92933	3730395	40.10
1944	29	0.00185	0.00185	0.5	92850	172	92764	3637462	39.18
1944	30	0.00201	0.00200	0.5	92678	186	92586	3544697	38.25
1944	31	0.00221	0.00221	0.5	92493	204	92390	3452112	37.32
1944	32	0.00235	0.00235	0.5	92288	217	92180	3359722	36.40
1944	33	0.00249	0.00249	0.5	92072	229	91957	3267542	35.49
1944	34	0.00261	0.00260	0.5	91843	239	91723	3175584	34.58
1944	35	0.00291	0.00291	0.5	91604	266	91471	3083861	33.67
1944	36	0.00324	0.00323	0.5	91338	295	91190	2992390	32.76
1944	37	0.00356	0.00355	0.5	91042	323	90881	2901200	31.87
1944	38	0.00406	0.00405	0.5	90719	367	90535	2810320	30.98
1944	39	0.00427	0.00426	0.5	90352	385	90159	2719784	30.10
1944	40	0.00480	0.00479	0.5	89967	431	89751	2629625	29.23
1944	41	0.00565	0.00564	0.5	89535	505	89283	2539874	28.37
1944	42	0.00613	0.00612	0.5	89031	544	88759	2450591	27.53
1944	43	0.00637	0.00635	0.5	88486	562	88205	2361832	26.69
1944	44	0.00666	0.00664	0.5	87924	584	87632	2273627	25.86
1944	45	0.00804	0.00801	0.5	87340	700	86991	2185994	25.03
1944	46	0.00911	0.00907	0.5	86641	786	86248	2099004	24.23
1944	47	0.00960	0.00955	0.5	85855	820	85445	2012756	23.44
1944	48	0.01080	0.01074	0.5	85035	914	84578	1927310	22.66
1944	49	0.01128	0.01121	0.5	84122	943	83650	1842732	21.91
1944	50	0.01246	0.01238	0.5	83178	1030	82664	1759082	21.15
1944	51	0.01407	0.01397	0.5	82149	1147	81575	1676418	20.41
1944	52	0.01509	0.01497	0.5	81001	1213	80395	1594843	19.69
1944	53	0.01621	0.01608	0.5	79789	1283	79147	1514448	18.98
1944	54	0.01689	0.01675	0.5	78505	1315	77848	1435301	18.28
1944	55	0.01938	0.01919	0.5	77190	1482	76450	1357454	17.59
1944	56	0.02159	0.02136	0.5	75709	1617	74900	1281004	16.92
1944	57	0.02295	0.02269	0.5	74092	1681	73251	1206104	16.28
1944	58	0.02551	0.02519	0.5	72410	1824	71498	1132853	15.64
1944	59	0.02627	0.02593	0.5	70586	1830	69671	1061355	15.04
1944	60	0.02909	0.02867	0.5	68756	1972	67770	991683	14.42
1944	61	0.03338	0.03283	0.5	66785	2192	65689	923913	13.83
1944	62	0.03508	0.03447	0.5	64592	2227	63479	858224	13.29
1944	63	0.03697	0.03630	0.5	62366	2264	61234	794746	12.74
1944	64	0.03816	0.03744	0.5	60102	2250	58976	733512	12.20
1944	65	0.04392	0.04298	0.5	57851	2486	56608	674535	11.66
1944	66	0.04868	0.04753	0.5	55365	2631	54049	617927	11.16
1944	67	0.04837	0.04723	0.5	52734	2491	51488	563878	10.69
1944	68	0.05168	0.05037	0.5	50243	2531	48978	512390	10.20
